"county","state","party","zagęszczenie_hrabstwa","liczba_gł_republikanie","liczba_gł_demokraci","winner"
Irwin,Georgia,Democrat,"0 - 50",2893086,1650596,Republikanie
Phillips,Montana,Democrat,"0 - 50",2893086,1650596,Republikanie
Brantley,Georgia,Republican,"0 - 50",2893086,1650596,Republikanie
Lincoln,Idaho,Republican,"0 - 50",2893086,1650596,Republikanie
Bland,Virginia,Republican,"0 - 50",2893086,1650596,Republikanie
Alexander,Illinois,Democrat,"0 - 50",2893086,1650596,Republikanie
Gulf,Florida,Republican,"0 - 50",2893086,1650596,Republikanie
Crook,Oregon,Republican,"0 - 50",2893086,1650596,Republikanie
Luna,New Mexico,Democrat,"0 - 50",2893086,1650596,Republikanie
Barton,Missouri,Democrat,"0 - 50",2893086,1650596,Republikanie
Lake,Michigan,Democrat,"0 - 50",2893086,1650596,Republikanie
Upton,Texas,Republican,"0 - 50",2893086,1650596,Republikanie
Adams,Iowa,Democrat,"0 - 50",2893086,1650596,Republikanie
Roane,West Virginia,Republican,"0 - 50",2893086,1650596,Republikanie
White,Indiana,Republican,"0 - 50",2893086,1650596,Republikanie
Alger,Michigan,Republican,"0 - 50",2893086,1650596,Republikanie
Butte,South Dakota,Republican,"0 - 50",2893086,1650596,Republikanie
Woods,Oklahoma,Republican,"0 - 50",2893086,1650596,Republikanie
Routt,Colorado,Democrat,"0 - 50",2893086,1650596,Republikanie
Calaveras,California,Democrat,"0 - 50",2893086,1650596,Republikanie
Sandoval,New Mexico,Democrat,"0 - 50",2893086,1650596,Republikanie
Clay,North Carolina,Democrat,"0 - 50",2893086,1650596,Republikanie
Fayette,Illinois,Republican,"0 - 50",2893086,1650596,Republikanie
Iroquois,Illinois,Republican,"0 - 50",2893086,1650596,Republikanie
Newton,Mississippi,Republican,"0 - 50",2893086,1650596,Republikanie
Butte,Idaho,Democrat,"0 - 50",2893086,1650596,Republikanie
Franklin,Texas,Republican,"0 - 50",2893086,1650596,Republikanie
Sabine,Louisiana,Democrat,"0 - 50",2893086,1650596,Republikanie
Smith,Mississippi,Republican,"0 - 50",2893086,1650596,Republikanie
Granite,Montana,Democrat,"0 - 50",2893086,1650596,Republikanie
Madison,North Carolina,Republican,"0 - 50",2893086,1650596,Republikanie
Medina,Texas,Republican,"0 - 50",2893086,1650596,Republikanie
Woodward,Oklahoma,Republican,"0 - 50",2893086,1650596,Republikanie
Blaine,Montana,Democrat,"0 - 50",2893086,1650596,Republikanie
Bonner,Idaho,Democrat,"0 - 50",2893086,1650596,Republikanie
Cherry,Nebraska,Democrat,"0 - 50",2893086,1650596,Republikanie
Brantley,Georgia,Democrat,"0 - 50",2893086,1650596,Republikanie
Nuckolls,Nebraska,Republican,"0 - 50",2893086,1650596,Republikanie
Starr,Texas,Democrat,"0 - 50",2893086,1650596,Republikanie
Bayfield,Wisconsin,Democrat,"0 - 50",2893086,1650596,Republikanie
Hemphill,Texas,Republican,"0 - 50",2893086,1650596,Republikanie
Cass,Illinois,Democrat,"0 - 50",2893086,1650596,Republikanie
Marshall,Oklahoma,Democrat,"0 - 50",2893086,1650596,Republikanie
Casey,Kentucky,Democrat,"0 - 50",2893086,1650596,Republikanie
Klickitat,Washington,Democrat,"0 - 50",2893086,1650596,Republikanie
Allegany,New York,Democrat,"0 - 50",2893086,1650596,Republikanie
Scott,Virginia,Democrat,"0 - 50",2893086,1650596,Republikanie
Cleburne,Arkansas,Democrat,"0 - 50",2893086,1650596,Republikanie
Crenshaw,Alabama,Republican,"0 - 50",2893086,1650596,Republikanie
Lafayette,Arkansas,Democrat,"0 - 50",2893086,1650596,Republikanie
Jackson,Arkansas,Republican,"0 - 50",2893086,1650596,Republikanie
Calhoun,Florida,Democrat,"0 - 50",2893086,1650596,Republikanie
Grant,Nebraska,Democrat,"0 - 50",2893086,1650596,Republikanie
Beauregard,Louisiana,Democrat,"0 - 50",2893086,1650596,Republikanie
Union,Indiana,Democrat,"0 - 50",2893086,1650596,Republikanie
