"county","state","party","procent_wiek_średni","liczba_gł_republikanie","liczba_gł_demokraci","winner"
Collingsworth,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Grant,Oregon,Democrat,"0 - 55 %",858958,347286,Republikanie
Huerfano,Colorado,Democrat,"0 - 55 %",858958,347286,Republikanie
McPherson,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Buffalo,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Knox,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Ocean,New Jersey,Democrat,"0 - 55 %",858958,347286,Republikanie
Buffalo,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Cimarron,Oklahoma,Democrat,"0 - 55 %",858958,347286,Republikanie
Mills,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Beaver,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Valley,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Baylor,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Emery,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Pawnee,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Kerr,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Fulton,Arkansas,Republican,"0 - 55 %",858958,347286,Republikanie
Northumberland,Virginia,Republican,"0 - 55 %",858958,347286,Republikanie
Cedar,Missouri,Republican,"0 - 55 %",858958,347286,Republikanie
Hooker,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Walworth,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Cedar,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Baca,Colorado,Democrat,"0 - 55 %",858958,347286,Republikanie
Towns,Georgia,Democrat,"0 - 55 %",858958,347286,Republikanie
Mitchell,Iowa,Republican,"0 - 55 %",858958,347286,Republikanie
Juab,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Thayer,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Banner,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Luna,New Mexico,Republican,"0 - 55 %",858958,347286,Republikanie
Briscoe,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Wheeler,Oregon,Republican,"0 - 55 %",858958,347286,Republikanie
Potter,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Clay,Georgia,Republican,"0 - 55 %",858958,347286,Republikanie
Sevier,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Butte,Idaho,Democrat,"0 - 55 %",858958,347286,Republikanie
Dewey,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Burt,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Stonewall,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Briscoe,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
La Vaca,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Jackson,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Beaver,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Ontonagon,Michigan,Democrat,"0 - 55 %",858958,347286,Republikanie
Mohave,Arizona,Democrat,"0 - 55 %",858958,347286,Republikanie
Lancaster,Virginia,Republican,"0 - 55 %",858958,347286,Republikanie
Throckmorton,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Hamlin,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Martin,Florida,Democrat,"0 - 55 %",858958,347286,Republikanie
Jerauld,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Ocean,New Jersey,Republican,"0 - 55 %",858958,347286,Republikanie
Sierra,New Mexico,Republican,"0 - 55 %",858958,347286,Republikanie
Hitchcock,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Mason,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Towns,Georgia,Republican,"0 - 55 %",858958,347286,Republikanie
Hand,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Duchesne,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Union,Georgia,Democrat,"0 - 55 %",858958,347286,Republikanie
Morgan,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Haakon,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Sharp,Arkansas,Democrat,"0 - 55 %",858958,347286,Republikanie
Menominee,Wisconsin,Republican,"0 - 55 %",858958,347286,Republikanie
Douglas,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Garden,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Davis,Iowa,Democrat,"0 - 55 %",858958,347286,Republikanie
Adams,Washington,Republican,"0 - 55 %",858958,347286,Republikanie
Keya Paha,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Knox,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Monona,Iowa,Republican,"0 - 55 %",858958,347286,Republikanie
Ozark,Missouri,Democrat,"0 - 55 %",858958,347286,Republikanie
Clay,North Carolina,Democrat,"0 - 55 %",858958,347286,Republikanie
Miner,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Perkins,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Bear Lake,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Caribou,Idaho,Democrat,"0 - 55 %",858958,347286,Republikanie
Clay,Georgia,Democrat,"0 - 55 %",858958,347286,Republikanie
Comanche,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Hanson,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Holmes,Ohio,Democrat,"0 - 55 %",858958,347286,Republikanie
Wayne,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Prairie,Montana,Democrat,"0 - 55 %",858958,347286,Republikanie
Day,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Coke,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Todd,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Hernando,Florida,Democrat,"0 - 55 %",858958,347286,Republikanie
Brooks,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Mellette,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Edwards,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Jefferson,Washington,Republican,"0 - 55 %",858958,347286,Republikanie
Aurora,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Mitchell,Iowa,Democrat,"0 - 55 %",858958,347286,Republikanie
Indian River,Florida,Republican,"0 - 55 %",858958,347286,Republikanie
Piute,Utah,Republican,"0 - 55 %",858958,347286,Republikanie
Marion,Florida,Republican,"0 - 55 %",858958,347286,Republikanie
Day,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Sharp,Arkansas,Republican,"0 - 55 %",858958,347286,Republikanie
Oneida,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Holmes,Ohio,Republican,"0 - 55 %",858958,347286,Republikanie
Millard,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Blaine,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
McCulloch,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Hickory,Missouri,Republican,"0 - 55 %",858958,347286,Republikanie
Wibaux,Montana,Democrat,"0 - 55 %",858958,347286,Republikanie
Baxter,Arkansas,Republican,"0 - 55 %",858958,347286,Republikanie
Davis,Iowa,Republican,"0 - 55 %",858958,347286,Republikanie
Indian River,Florida,Democrat,"0 - 55 %",858958,347286,Republikanie
Harrison,Missouri,Republican,"0 - 55 %",858958,347286,Republikanie
Clark,Wisconsin,Democrat,"0 - 55 %",858958,347286,Republikanie
Comanche,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Granite,Montana,Republican,"0 - 55 %",858958,347286,Republikanie
Sherman,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Columbia,Washington,Republican,"0 - 55 %",858958,347286,Republikanie
Leelanau,Michigan,Democrat,"0 - 55 %",858958,347286,Republikanie
Leelanau,Michigan,Republican,"0 - 55 %",858958,347286,Republikanie
Benton,Missouri,Democrat,"0 - 55 %",858958,347286,Republikanie
Hand,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
McPherson,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Butte,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Crosby,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Wheeler,Oregon,Democrat,"0 - 55 %",858958,347286,Republikanie
Yavapai,Arizona,Republican,"0 - 55 %",858958,347286,Republikanie
Leon,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Llano,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Mills,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Hooker,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Jefferson,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Alcona,Michigan,Democrat,"0 - 55 %",858958,347286,Republikanie
Gillespie,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Columbia,Washington,Democrat,"0 - 55 %",858958,347286,Republikanie
Macon,North Carolina,Republican,"0 - 55 %",858958,347286,Republikanie
Pawnee,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Dewey,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Thurston,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Shelby,Iowa,Republican,"0 - 55 %",858958,347286,Republikanie
Washington,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Real,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Jim Hogg,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Mohave,Arizona,Republican,"0 - 55 %",858958,347286,Republikanie
Cuming,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
San Augustine,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Lake,Florida,Democrat,"0 - 55 %",858958,347286,Republikanie
Jefferson,Idaho,Democrat,"0 - 55 %",858958,347286,Republikanie
Wood,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Presidio,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Charlotte,Florida,Republican,"0 - 55 %",858958,347286,Republikanie
Jim Hogg,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Scotland,Missouri,Democrat,"0 - 55 %",858958,347286,Republikanie
Faulk,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Lincoln,Washington,Republican,"0 - 55 %",858958,347286,Republikanie
Jackson,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Prairie,Montana,Republican,"0 - 55 %",858958,347286,Republikanie
McCook,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Cedar,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Gila,Arizona,Democrat,"0 - 55 %",858958,347286,Republikanie
Curry,Oregon,Democrat,"0 - 55 %",858958,347286,Republikanie
Adams,Washington,Democrat,"0 - 55 %",858958,347286,Republikanie
Sierra,New Mexico,Democrat,"0 - 55 %",858958,347286,Republikanie
Nye,Nevada,Democrat,"0 - 55 %",858958,347286,Republikanie
Sabine,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Presque Isle,Michigan,Republican,"0 - 55 %",858958,347286,Republikanie
Cottle,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Faulk,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Foard,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Sheridan,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Furnas,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Menominee,Wisconsin,Democrat,"0 - 55 %",858958,347286,Republikanie
Rich,Utah,Democrat,"0 - 55 %",858958,347286,Republikanie
Hanson,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Menard,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Knox,Missouri,Republican,"0 - 55 %",858958,347286,Republikanie
Sumter,Florida,Republican,"0 - 55 %",858958,347286,Republikanie
Furnas,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Roberts,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Todd,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Greene,Georgia,Democrat,"0 - 55 %",858958,347286,Republikanie
Walworth,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Daniels,Montana,Republican,"0 - 55 %",858958,347286,Republikanie
Union,Georgia,Republican,"0 - 55 %",858958,347286,Republikanie
Kerr,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Cedar,Missouri,Democrat,"0 - 55 %",858958,347286,Republikanie
Ontonagon,Michigan,Republican,"0 - 55 %",858958,347286,Republikanie
Cumberland,Tennessee,Democrat,"0 - 55 %",858958,347286,Republikanie
Wheatland,Montana,Democrat,"0 - 55 %",858958,347286,Republikanie
Grant,Oregon,Republican,"0 - 55 %",858958,347286,Republikanie
Roscommon,Michigan,Democrat,"0 - 55 %",858958,347286,Republikanie
Mathews,Virginia,Democrat,"0 - 55 %",858958,347286,Republikanie
Northumberland,Virginia,Democrat,"0 - 55 %",858958,347286,Republikanie
Stone,Arkansas,Democrat,"0 - 55 %",858958,347286,Republikanie
Coke,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Caribou,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Shelby,Iowa,Democrat,"0 - 55 %",858958,347286,Republikanie
Motley,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Greene,Georgia,Republican,"0 - 55 %",858958,347286,Republikanie
Dewey,Oklahoma,Democrat,"0 - 55 %",858958,347286,Republikanie
Washington,Idaho,Democrat,"0 - 55 %",858958,347286,Republikanie
Corson,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Gregory,South Dakota,Democrat,"0 - 55 %",858958,347286,Republikanie
Adams,Indiana,Republican,"0 - 55 %",858958,347286,Republikanie
Charles Mix,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
DeBaca,New Mexico,Democrat,"0 - 55 %",858958,347286,Republikanie
St. Clair,Missouri,Democrat,"0 - 55 %",858958,347286,Republikanie
La Vaca,Texas,Democrat,"0 - 55 %",858958,347286,Republikanie
Harding,New Mexico,Republican,"0 - 55 %",858958,347286,Republikanie
Keweenaw,Michigan,Democrat,"0 - 55 %",858958,347286,Republikanie
Cleburne,Arkansas,Democrat,"0 - 55 %",858958,347286,Republikanie
Miner,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
McPherson,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
Lemhi,Idaho,Democrat,"0 - 55 %",858958,347286,Republikanie
Lemhi,Idaho,Republican,"0 - 55 %",858958,347286,Republikanie
Harlan,Nebraska,Democrat,"0 - 55 %",858958,347286,Republikanie
Wibaux,Montana,Republican,"0 - 55 %",858958,347286,Republikanie
Collingsworth,Texas,Republican,"0 - 55 %",858958,347286,Republikanie
Dewey,Oklahoma,Republican,"0 - 55 %",858958,347286,Republikanie
Morgan,Missouri,Republican,"0 - 55 %",858958,347286,Republikanie
McPherson,South Dakota,Republican,"0 - 55 %",858958,347286,Republikanie
Garfield,Montana,Democrat,"0 - 55 %",858958,347286,Republikanie
Sheridan,Nebraska,Republican,"0 - 55 %",858958,347286,Republikanie
