"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Missouri,St. Charles,Republican,360485,643.2,72117
New Mexico,Otero,Democrat,63797,9.6,2514
Georgia,Irwin,Democrat,9538,26.9,400
Tennessee,McNairy,Republican,26075,46.3,3679
North Carolina,Hoke,Democrat,46952,120.2,5365
Missouri,Clark,Democrat,7139,14.1,380
Arkansas,Scott,Democrat,11233,12.6,457
Indiana,White,Republican,24643,48.8,5191
Pennsylvania,Cameron,Republican,5085,12.8,794
Mississippi,Winston,Democrat,19198,31.6,1644
Michigan,Saginaw,Democrat,200169,250.2,21967
West Virginia,Jefferson,Republican,53498,255.2,4891
Georgia,Whitfield,Democrat,102599,353.2,2843
Iowa,Louisa,Democrat,11387,28.3,400
Michigan,Wexford,Democrat,32735,57.9,2702
Oklahoma,Okmulgee,Democrat,40069,57.5,3749
Nevada,Lincoln,Republican,5345,0.5,285
Texas,Willacy,Democrat,22134,37.5,2729
Missouri,Jasper,Republican,117404,183.9,20245
Colorado,Crowley,Democrat,5823,7.4,31
Ohio,Clark,Republican,138333,348.0,23928
Montana,Valley,Republican,7369,1.5,1507
Wyoming,Campbell,Democrat,46133,9.6,18
Utah,Box Elder,Democrat,49975,8.7,371
Louisiana,Franklin,Republican,20767,33.2,1366
Missouri,Butler,Democrat,42794,61.6,1655
Ohio,Geauga,Democrat,93389,233.4,7687
New Mexico,Union,Republican,4549,1.2,386
Michigan,Montmorency,Democrat,9765,17.9,775
Georgia,Union,Republican,21356,66.3,5824
California,Del Norte,Democrat,28610,28.4,2338
Missouri,Mercer,Republican,3785,8.3,733
Iowa,Butler,Republican,14867,25.6,910
Virginia,Orange,Democrat,33481,98.2,2192
Kentucky,Jessamine,Democrat,48586,282.3,3988
New York,Saratoga,Republican,219607,271.1,23367
Nebraska,Nance,Republican,3735,8.5,408
Indiana,Clinton,Democrat,33224,82.0,1770
Tennessee,Crockett,Democrat,14586,54.9,527
Georgia,Emanuel,Democrat,22598,33.2,899
New Mexico,Cibola,Republican,27213,6.0,866
North Carolina,Richmond,Democrat,46639,98.4,4536
Wisconsin,Florence,Democrat,4423,9.1,468
New York,Wayne,Democrat,93772,155.3,4178
Illinois,Madison,Democrat,269282,376.3,34055
South Carolina,Barnwell,Republican,22621,41.2,2588
Idaho,Owyhee,Republican,11526,1.5,1634
Texas,Rockwall,Republican,78337,616.7,16636
Louisiana,Bienville,Republican,14353,17.7,966
Texas,Jeff Davis,Republican,2342,1.0,496
Texas,Bell,Republican,310235,295.2,29843
New York,Nassau,Republican,1339532,4704.8,97996
West Virginia,Lewis,Republican,16372,42.5,2493
Michigan,Alger,Republican,9601,10.5,1215
Arkansas,Clay,Democrat,16083,25.2,1616
Nebraska,Knox,Republican,8701,7.9,937
Texas,Rains,Republican,10914,47.6,2182
Pennsylvania,Indiana,Republican,88880,107.5,11817
Florida,Brevard,Democrat,543376,535.0,51918
California,Orange,Republican,3010232,3807.7,185017
Georgia,Randolph,Democrat,7719,18.0,761
Wyoming,Washakie,Democrat,8533,3.8,3
Ohio,Ross,Democrat,78064,113.3,6177
Virginia,Isle of Wight,Democrat,35270,111.8,3299
Virginia,Fluvanna,Democrat,25691,89.8,2338
Texas,Archer,Democrat,9054,10.0,163
Louisiana,Concordia,Democrat,20822,29.9,2159
Virginia,Culpeper,Democrat,46689,123.1,2575
New York,Washington,Republican,63216,76.1,5052
Oklahoma,Roger Mills,Democrat,3647,3.2,368
Tennessee,Benton,Republican,16489,41.8,2197
Oklahoma,Muskogee,Republican,70990,87.6,4968
West Virginia,Wyoming,Democrat,23796,47.6,2208
Michigan,Berrien,Democrat,156813,276.2,12598
New Jersey,Passaic,Republican,501226,2715.3,19777
Pennsylvania,Mercer,Republican,116638,173.4,14583
Colorado,Douglas,Democrat,285465,339.7,4689
Colorado,Alamosa,Democrat,15445,21.4,257
Illinois,Saline,Republican,24913,65.6,4119
South Carolina,Calhoun,Democrat,15175,39.8,1777
Montana,Gallatin,Republican,89513,34.4,10972
Utah,Weber,Republican,231236,401.4,10518
Oklahoma,Pushmataha,Republican,11572,8.3,548
Texas,Zavala,Republican,11677,9.0,0
Arizona,Graham,Republican,37220,8.1,3309
Louisiana,St. Landry,Democrat,83384,90.3,5790
Oregon,Clackamas,Republican,375992,201.0,39159
Georgia,Decatur,Republican,27842,46.6,3092
Iowa,Van Buren,Democrat,7570,15.6,199
Arkansas,Randolph,Democrat,17969,27.6,1018
California,Sutter,Republican,94737,157.3,5469
Louisiana,Natchitoches,Republican,39566,31.6,2587
Pennsylvania,Northumberland,Democrat,94528,206.2,6983
Ohio,Fairfield,Democrat,146156,289.8,11482
Texas,Hopkins,Republican,35161,45.8,6668
South Dakota,Kingsbury,Republican,5148,6.2,638
Virginia,Lee,Republican,25587,58.8,2019
South Carolina,Bamberg,Republican,15987,40.6,1200
Texas,Mitchell,Republican,9403,10.3,1179
North Carolina,Sampson,Republican,63431,67.1,6806
Tennessee,Polk,Republican,16825,38.7,2212
Nevada,Lyon,Republican,51980,26.0,2891
South Carolina,Saluda,Republican,19875,43.9,3431
Indiana,Pulaski,Democrat,13402,30.9,824
Ohio,Marion,Democrat,66501,164.7,4494
Nebraska,Nemaha,Democrat,7248,17.8,74
South Dakota,Oglala Lakota,Democrat,13586,6.5,999
Kentucky,Harlan,Democrat,29278,62.9,1543
Louisiana,Jefferson,Republican,432552,1463.1,28757
Illinois,Crawford,Democrat,19817,44.7,1192
Virginia,Colonial Heights,Republican,17411,2315.3,2863
Mississippi,Covington,Democrat,19568,47.3,1520
Florida,St. Johns,Democrat,190039,316.4,16687
Texas,Archer,Republican,9054,10.0,2384
Kentucky,Clark,Democrat,35613,141.1,3698
Virginia,King George,Republican,23584,131.3,3866
Texas,Wise,Democrat,59127,65.4,1307
Texas,Jackson,Republican,14075,17.0,2663
Texas,Fisher,Republican,3974,4.4,552
Pennsylvania,Bradford,Democrat,62622,54.6,3553
Tennessee,Houston,Democrat,8426,42.1,461
Iowa,Appanoose,Republican,12887,25.9,839
Oklahoma,Greer,Republican,6239,9.8,288
Indiana,Clay,Democrat,26890,75.2,1980
Idaho,Latah,Republican,37244,34.6,3839
Indiana,Floyd,Democrat,74578,504.1,8692
California,Merced,Republican,255793,132.2,8132
Texas,Borden,Democrat,641,0.7,5
Virginia,Dinwiddie,Republican,28001,55.6,2775
New York,Montgomery,Republican,50219,124.6,3505
New York,Oswego,Democrat,122109,128.3,5490
Oklahoma,Murray,Republican,13488,32.4,976
Florida,Pasco,Republican,464697,622.2,63611
Texas,Live Oak,Republican,11531,11.1,2084
Mississippi,Perry,Democrat,12250,18.9,478
West Virginia,Mineral,Republican,28212,86.1,4022
Michigan,Mackinac,Republican,11113,10.9,1883
Wisconsin,Sawyer,Democrat,16557,13.2,2627
Montana,Lincoln,Democrat,19687,5.4,1514
Virginia,Accomack,Democrat,33164,73.8,2471
Florida,Lake,Republican,297052,316.6,52103
Missouri,Carter,Democrat,6265,12.3,280
California,Los Angeles,Democrat,9818605,2419.6,1025158
Iowa,Adair,Republican,7682,13.5,405
New York,Schuyler,Republican,18343,55.9,1753
Ohio,Van Wert,Republican,28744,70.3,6826
Ohio,Gallia,Democrat,30934,66.3,1911
Michigan,Midland,Republican,83629,162.0,13501
Iowa,Madison,Republican,15679,27.9,1346
California,San Benito,Republican,55269,39.8,1830
Georgia,Treutlen,Republican,6885,34.5,794
Kentucky,Hart,Democrat,18199,44.2,1879
Texas,Carson,Democrat,6182,6.7,80
Georgia,Muscogee,Democrat,189885,877.5,16120
Kentucky,Edmonson,Democrat,12161,40.2,537
Texas,Sterling,Republican,1143,1.2,378
Nevada,Eureka,Democrat,1987,0.5,22
New York,Franklin,Republican,51599,31.7,2464
North Carolina,Haywood,Democrat,59036,106.6,7621
Montana,Toole,Republican,5324,2.8,1023
West Virginia,Calhoun,Republican,7627,27.3,536
Texas,Somervell,Republican,8490,45.5,2367
Washington,Pend Oreille,Republican,13001,9.3,2263
Missouri,Putnam,Republican,4979,9.6,1015
Kentucky,Laurel,Republican,58849,135.6,4853
Idaho,Washington,Democrat,10198,7.0,106
Oklahoma,Beckham,Republican,22119,24.5,2159
Mississippi,Alcorn,Republican,37057,92.6,5639
Indiana,Spencer,Republican,20952,52.8,4020
Iowa,Pottawattamie,Democrat,93158,98.0,3099
Iowa,Pottawattamie,Republican,93158,98.0,4369
Nebraska,Otoe,Republican,15740,25.6,1915
Florida,Hardee,Democrat,27731,43.5,922
Tennessee,Hawkins,Republican,56833,116.7,8875
Missouri,Camden,Democrat,44002,67.1,2807
Louisiana,Allen,Republican,25764,33.8,1029
Texas,Kendall,Republican,33410,50.4,9614
Georgia,Butts,Republican,23655,128.3,3826
Oklahoma,McClain,Democrat,34506,60.5,3022
West Virginia,Harrison,Democrat,69099,166.1,9554
Virginia,Buckingham,Republican,17146,29.6,1631
Alabama,Shelby,Republican,195085,248.5,52162
Oklahoma,Pawnee,Republican,16577,29.2,1940
Nebraska,Cherry,Republican,5713,1.0,1695
Louisiana,St. James,Democrat,22102,91.5,2438
Oklahoma,Pontotoc,Democrat,37492,52.0,3578
Texas,Comanche,Democrat,13974,14.9,333
Pennsylvania,Fulton,Democrat,14845,33.9,730
Ohio,Pickaway,Democrat,55698,111.1,3728
Illinois,Douglas,Democrat,19980,48.0,1126
Illinois,Clinton,Democrat,37762,79.7,2172
North Carolina,Craven,Republican,103505,146.0,12212
Wisconsin,Jackson,Democrat,20449,20.7,3139
Michigan,Muskegon,Democrat,172188,344.9,18282
South Carolina,Charleston,Republican,350209,382.3,54625
Texas,McMullen,Republican,707,0.6,390
New Jersey,Atlantic,Democrat,274549,494.1,17819
New Jersey,Cumberland,Republican,156898,324.4,5980
Texas,Bee,Democrat,31861,36.2,1452
Wyoming,Crook,Democrat,7083,2.5,2
Illinois,Randolph,Democrat,33476,58.2,2855
Texas,Coleman,Republican,8895,7.0,2189
Oklahoma,Garfield,Democrat,60580,57.2,3174
Hawaii,Hawaii,Republican,185079,45.9,1978
Iowa,Boone,Democrat,26306,46.0,1300
South Carolina,Newberry,Democrat,37508,59.5,2587
Louisiana,Ouachita,Democrat,153720,251.8,10798
Nevada,White Pine,Democrat,10030,1.1,93
Montana,Roosevelt,Democrat,10425,4.4,711
Utah,Sanpete,Democrat,27822,17.5,308
Georgia,Candler,Democrat,10998,45.3,544
New York,Columbia,Democrat,63096,99.4,5783
New Jersey,Salem,Democrat,66083,199.1,4977
Pennsylvania,Delaware,Republican,558979,3040.5,78459
Georgia,Stewart,Republican,6058,13.2,371
Texas,Terry,Democrat,12651,14.2,224
Nevada,Humboldt,Republican,16528,1.7,859
Tennessee,Warren,Republican,39839,92.1,4745
West Virginia,Mercer,Republican,62264,148.6,6332
Arkansas,Cleburne,Democrat,25970,46.9,1074
Tennessee,Marshall,Democrat,30617,81.5,1222
South Carolina,Florence,Democrat,136885,171.1,11995
Oklahoma,Pottawatomie,Republican,69442,88.2,7783
Florida,Lafayette,Democrat,8870,16.3,796
Montana,Cascade,Republican,81327,30.1,9748
Oklahoma,Logan,Democrat,41848,56.3,2959
Texas,Swisher,Democrat,7854,8.8,219
Georgia,Dawson,Democrat,22330,105.9,580
Oklahoma,Cotton,Democrat,6193,9.8,592
Kentucky,Spencer,Democrat,17061,91.4,1479
Nebraska,Richardson,Democrat,8363,15.2,64
Ohio,Stark,Republican,375586,652.9,68099
Virginia,Rockbridge,Republican,22307,37.3,3209
Nevada,Clark,Democrat,1951269,247.3,8687
Kentucky,Pendleton,Republican,14877,53.7,711
Oklahoma,Cimarron,Democrat,2475,1.3,90
Idaho,Shoshone,Democrat,12765,4.9,130
West Virginia,Wood,Democrat,86956,237.4,7688
Delaware,New Castle,Republican,538479,1263.2,31069
Arkansas,Washington,Democrat,203065,215.6,17617
North Carolina,Camden,Democrat,9980,41.5,766
Wisconsin,Iowa,Republican,23687,31.1,3935
Nevada,Lyon,Democrat,51980,26.0,168
New York,Madison,Democrat,73442,112.2,4226
New York,Allegany,Republican,48946,47.6,4919
Georgia,Washington,Republican,21187,31.2,2256
Oklahoma,Payne,Democrat,77350,113.0,6451
Ohio,Crawford,Republican,43784,109.0,8247
Texas,Comal,Democrat,108472,193.9,5132
Texas,Brazos,Republican,194851,332.8,24634
Tennessee,Stewart,Democrat,13324,29.0,771
New York,Putnam,Democrat,99710,432.9,7050
Mississippi,Jasper,Republican,17062,25.2,2240
Ohio,Union,Democrat,52300,121.1,3081
Texas,Dawson,Democrat,13833,15.4,126
Virginia,Staunton,Republican,23746,1188.8,3148
