"state","county","party","osoby_18_do_65_hr","liczba_glosow"
North Carolina,Forsyth,Republican,61.9,40509
Pennsylvania,Centre,Republican,72.2,19768
Wisconsin,Dunn,Republican,65.3,7301
Illinois,Marion,Republican,58.6,5831
West Virginia,Lewis,Republican,60.1,2493
South Dakota,Custer,Republican,57.5,1489
Iowa,Kossuth,Republican,55.6,947
Oklahoma,Custer,Republican,62.3,3462
North Carolina,Randolph,Republican,60.3,20722
Iowa,Fremont,Republican,56.4,425
Texas,Coryell,Republican,66.2,7252
Oklahoma,Delaware,Republican,55.7,4595
Alabama,Washington,Republican,60.5,2326
Mississippi,Kemper,Republican,62.0,907
North Carolina,Haywood,Republican,57.9,7544
Texas,Angelina,Republican,58.9,13075
Utah,Utah,Republican,57.9,40586
Mississippi,Marshall,Republican,62.9,3683
Nebraska,Fillmore,Republican,56.6,824
Georgia,Dade,Republican,63.2,2760
Texas,McCulloch,Republican,54.9,1967
Montana,Hill,Republican,58.9,1573
North Carolina,Halifax,Republican,59.8,2392
Indiana,Hamilton,Republican,61.1,74021
South Carolina,Union,Republican,59.7,3611
Oklahoma,Garvin,Republican,58.0,2572
Georgia,White,Republican,58.1,5928
Pennsylvania,Luzerne,Republican,61.4,36637
Georgia,Bibb,Republican,60.8,15137
Georgia,Glascock,Republican,58.6,674
Wisconsin,Winnebago,Republican,64.5,33294
Kentucky,Logan,Republican,58.6,837
West Virginia,Mercer,Republican,59.7,6332
New York,Orange,Republican,61.4,23207
Kentucky,Harlan,Republican,61.0,438
Nebraska,Sarpy,Republican,61.6,13978
Wisconsin,St. Croix,Republican,61.9,16247
Georgia,Stewart,Republican,69.3,371
Virginia,Prince Edward,Republican,68.1,2038
Wisconsin,Monroe,Republican,59.0,7516
New Mexico,Lincoln,Republican,55.1,2582
Hawaii,Hawaii,Republican,60.5,1978
Ohio,Delaware,Republican,60.9,51107
North Carolina,Alleghany,Republican,57.4,1549
Kentucky,LaRue,Republican,60.6,725
Utah,Davis,Republican,57.6,25644
Tennessee,Putnam,Republican,62.5,10487
Iowa,Emmet,Republican,59.2,403
Alabama,Mobile,Republican,61.5,61351
Illinois,LaSalle,Republican,60.3,14749
New York,Hamilton,Republican,58.1,976
Georgia,Cook,Republican,58.7,2212
North Carolina,Pitt,Republican,66.8,14930
Idaho,Washington,Republican,53.9,1955
Texas,Jeff Davis,Republican,58.1,496
Virginia,Rappahannock,Republican,58.6,1338
Oklahoma,Pontotoc,Republican,60.5,3224
Michigan,Montcalm,Republican,61.1,8160
Kentucky,Bullitt,Republican,63.3,4352
Virginia,Mathews,Republican,54.9,1754
Louisiana,Livingston,Republican,62.1,10804
Illinois,Pulaski,Republican,57.9,805
Arkansas,Crawford,Republican,59.6,10409
Arkansas,Cleveland,Republican,57.5,1460
Missouri,Madison,Republican,57.5,1919
Utah,Wayne,Republican,54.1,228
Missouri,Osage,Republican,59.7,2859
Indiana,Scott,Republican,61.2,2896
Virginia,Martinsville,Republican,56.3,997
Florida,Wakulla,Republican,66.0,3759
Virginia,Rockbridge,Republican,58.4,3209
Mississippi,Hinds,Republican,62.7,17226
Kentucky,Meade,Republican,63.2,1346
Texas,Potter,Republican,60.8,10716
Ohio,Belmont,Republican,62.0,10614
Idaho,Jefferson,Republican,54.1,5445
Michigan,Newaygo,Republican,58.9,8252
Kentucky,Todd,Republican,57.2,264
Kentucky,Adair,Republican,62.6,2579
Mississippi,Leake,Republican,57.6,2672
Virginia,Dickenson,Republican,60.5,1493
South Dakota,Mellette,Republican,53.6,107
Tennessee,Hamblen,Republican,59.0,10194
Kentucky,Washington,Republican,59.8,581
Texas,Edwards,Republican,53.8,541
New York,Ontario,Republican,61.5,8052
Virginia,Williamsburg,Republican,73.6,1524
South Dakota,Hamlin,Republican,51.2,804
Illinois,Edgar,Republican,58.5,3520
Alabama,Colbert,Republican,59.8,8036
Ohio,Gallia,Republican,59.6,6058
Texas,Culberson,Republican,58.1,78
Arkansas,Randolph,Republican,57.6,1943
Nebraska,Howard,Republican,56.0,742
Texas,Rains,Republican,56.2,2182
Tennessee,Montgomery,Republican,64.2,16653
Iowa,Mitchell,Republican,54.6,471
Texas,Madison,Republican,63.8,2046
Kentucky,Calloway,Republican,66.0,1593
Nebraska,Merrick,Republican,57.9,1218
Mississippi,Tunica,Republican,59.5,263
Illinois,Shelby,Republican,58.0,4718
Ohio,Butler,Republican,62.5,67481
Oklahoma,Hughes,Republican,59.6,751
Texas,Crosby,Republican,54.3,696
West Virginia,Upshur,Republican,61.2,3949
North Carolina,Gaston,Republican,61.8,24777
New Mexico,Cibola,Republican,61.3,866
West Virginia,Barbour,Republican,60.8,2038
Nebraska,Deuel,Republican,55.5,337
Virginia,Shenandoah,Republican,58.3,6155
Alabama,Greene,Republican,58.8,268
Indiana,Bartholomew,Republican,60.8,15651
Georgia,Floyd,Republican,60.8,13905
Ohio,Highland,Republican,58.7,7727
Mississippi,Simpson,Republican,59.1,4501
North Carolina,Cabarrus,Republican,61.3,25914
Missouri,Christian,Republican,59.6,19507
Maryland,Carroll,Republican,62.2,28709
Florida,Manatee,Republican,55.0,53773
Ohio,Darke,Republican,57.2,12497
South Dakota,Haakon,Republican,54.4,494
Illinois,Ford,Republican,57.4,3253
Montana,Pondera,Republican,55.9,1108
Oklahoma,Haskell,Republican,56.0,672
North Carolina,Catawba,Republican,60.8,24420
New Mexico,Mora,Republican,58.1,179
California,Contra Costa,Republican,62.4,39024
Alabama,Shelby,Republican,62.6,52162
Texas,Cass,Republican,56.3,5263
Wisconsin,Kewaunee,Republican,59.1,4936
Iowa,Davis,Republican,53.6,531
Michigan,Arenac,Republican,59.0,2119
Utah,Duchesne,Republican,54.8,1756
Louisiana,St. Charles,Republican,63.0,3869
Kentucky,Henry,Republican,60.1,762
Montana,Granite,Republican,54.9,592
Alabama,Clarke,Republican,59.4,4534
Nebraska,Thurston,Republican,52.3,328
Missouri,Schuyler,Republican,55.1,713
Michigan,Jackson,Republican,61.9,19621
Michigan,Ingham,Republican,67.7,25887
Montana,Blaine,Republican,55.6,542
Pennsylvania,Lawrence,Republican,59.6,11381
Montana,Dawson,Republican,60.9,1996
North Carolina,McDowell,Republican,60.8,5955
West Virginia,Calhoun,Republican,60.2,536
Wisconsin,Washington,Republican,61.3,39908
Florida,Leon,Republican,69.5,29304
Nevada,Carson City,Republican,60.3,2438
California,Yuba,Republican,60.8,3726
Kentucky,Marshall,Republican,58.8,1591
Iowa,Hancock,Republican,57.1,849
Virginia,Gloucester,Republican,62.0,6519
Texas,Swisher,Republican,56.5,875
Tennessee,Houston,Republican,58.7,1006
Mississippi,Jasper,Republican,58.5,2240
Wisconsin,Burnett,Republican,55.6,3139
New Jersey,Hudson,Republican,68.9,8176
Tennessee,Coffee,Republican,59.2,8110
Hawaii,Honolulu,Republican,62.7,8943
Missouri,Chariton,Republican,55.1,1372
Georgia,Greene,Republican,54.7,3719
Iowa,Washington,Republican,56.7,1544
West Virginia,Logan,Republican,62.1,1792
Indiana,Perry,Republican,62.5,2414
Missouri,Mercer,Republican,55.1,733
Louisiana,Lafourche,Republican,62.7,5648
Indiana,Floyd,Republican,62.3,12997
Mississippi,Sharkey,Republican,58.5,402
Oklahoma,Okmulgee,Republican,58.9,3072
Wisconsin,Fond du Lac,Republican,61.5,22674
Indiana,Starke,Republican,60.0,3656
Georgia,Taliaferro,Republican,59.1,192
Georgia,Hall,Republican,59.9,32212
Missouri,Holt,Republican,57.3,1035
West Virginia,Doddridge,Republican,65.4,1458
New Mexico,Curry,Republican,61.5,3063
Wisconsin,Calumet,Republican,61.3,11392
Tennessee,DeKalb,Republican,59.9,2447
Virginia,Smyth,Republican,59.9,3312
Nebraska,Lancaster,Republican,64.8,24638
Pennsylvania,Dauphin,Republican,62.2,38679
California,Merced,Republican,59.5,8132
West Virginia,Jefferson,Republican,63.0,4891
North Carolina,Currituck,Republican,63.0,4234
Texas,Uvalde,Republican,56.2,2178
Maryland,Kent,Republican,58.6,2245
New York,Cattaraugus,Republican,60.2,6074
Texas,Ward,Republican,57.9,1396
Louisiana,Caddo,Republican,60.9,15649
Kentucky,Wolfe,Republican,58.5,93
Wisconsin,Waukesha,Republican,61.1,120830
Nebraska,Hooker,Republican,50.7,153
Tennessee,Morgan,Republican,64.2,2504
Texas,Jackson,Republican,57.2,2663
Texas,Terry,Republican,58.5,1742
Montana,Park,Republican,61.4,2289
Iowa,Audubon,Republican,55.5,374
Missouri,Audrain,Republican,59.8,3905
California,Placer,Republican,59.3,31276
West Virginia,Marion,Republican,62.0,4777
Pennsylvania,Blair,Republican,60.1,20464
Texas,Somervell,Republican,58.4,2367
Nebraska,Jefferson,Republican,55.5,769
Virginia,Madison,Republican,58.5,2157
Kentucky,Woodford,Republican,61.5,1839
Alabama,Escambia,Republican,61.3,5602
New York,Westchester,Republican,61.5,40822
Illinois,Moultrie,Republican,56.6,2626
Michigan,Manistee,Republican,58.8,3567
South Carolina,Charleston,Republican,65.3,54625
Texas,Shackelford,Republican,58.0,1098
Iowa,Sioux,Republican,58.6,4594
Kentucky,Oldham,Republican,62.1,6164
Louisiana,Calcasieu,Republican,61.4,11791
Pennsylvania,Northampton,Republican,61.9,31054
Pennsylvania,Cameron,Republican,58.7,794
Virginia,Southampton,Republican,63.0,2160
Louisiana,Pointe Coupee,Republican,58.8,1031
Georgia,Cherokee,Republican,62.1,49805
Michigan,Baraga,Republican,61.9,1000
Georgia,Webster,Republican,59.0,360
Texas,El Paso,Republican,60.4,27892
South Carolina,Aiken,Republican,60.4,28591
Missouri,St. Francois,Republican,63.3,8339
Texas,Menard,Republican,52.3,552
Pennsylvania,McKean,Republican,61.7,5880
Iowa,Van Buren,Republican,55.9,531
Mississippi,Prentiss,Republican,60.1,3321
Mississippi,Tallahatchie,Republican,66.1,1187
Iowa,Polk,Republican,63.1,31065
Nebraska,Rock,Republican,57.2,413
Missouri,Montgomery,Republican,57.4,2349
Virginia,Louisa,Republican,61.4,5101
Wisconsin,Menominee,Republican,54.6,176
Nebraska,Frontier,Republican,58.3,411
North Carolina,Hoke,Republican,62.8,2587
Texas,Bowie,Republican,60.7,15609
Illinois,DeWitt,Republican,60.3,3723
Indiana,Marshall,Republican,58.4,8962
Oklahoma,Craig,Republican,59.4,1197
Mississippi,Warren,Republican,60.6,5831
Indiana,Clay,Republican,60.3,5615
Wisconsin,Forest,Republican,57.6,1910
Mississippi,Humphreys,Republican,58.4,669
Michigan,Shiawassee,Republican,61.3,9338
Illinois,McLean,Republican,66.5,30625
Nebraska,Hall,Republican,59.1,5406
Oregon,Lake,Republican,58.5,1758
Missouri,Douglas,Republican,56.3,3038
Idaho,Lewis,Republican,52.9,672
Indiana,Jackson,Republican,60.5,8526
Mississippi,Scott,Republican,59.7,3397
Illinois,Logan,Republican,63.9,5877
Michigan,Mackinac,Republican,57.7,1883
Idaho,Madison,Republican,67.0,6895
Michigan,Wexford,Republican,59.1,5554
Pennsylvania,Pike,Republican,59.9,6914
Kentucky,Caldwell,Republican,58.4,541
Georgia,Atkinson,Republican,60.1,934
Washington,Whatcom,Republican,64.4,21025
Michigan,Gogebic,Republican,61.1,1650
Missouri,Johnson,Republican,66.5,7218
Virginia,Goochland,Republican,61.5,5373
Georgia,Dodge,Republican,63.9,2660
Illinois,Wabash,Republican,59.1,2228
Texas,Tarrant,Republican,62.7,208242
Michigan,Menominee,Republican,58.7,2698
Montana,Lake,Republican,56.1,3501
Ohio,Knox,Republican,60.4,12843
Alabama,Geneva,Republican,58.6,6190
Wisconsin,Bayfield,Republican,58.1,2973
Wisconsin,Dodge,Republican,63.0,19474
Montana,Silver Bow,Republican,62.2,3157
Alabama,Crenshaw,Republican,59.3,2704
Tennessee,Van Buren,Republican,60.2,890
Wisconsin,Pierce,Republican,66.2,6638
West Virginia,Cabell,Republican,62.9,7854
Oregon,Grant,Republican,54.3,1859
Alabama,Butler,Republican,58.4,3144
California,Kings,Republican,63.4,8371
Pennsylvania,Lancaster,Republican,59.5,84270
Texas,Hardeman,Republican,56.6,637
Louisiana,Jefferson,Republican,63.0,28757
Virginia,Falls Church,Republican,62.0,1548
Nebraska,Custer,Republican,55.8,1848
Texas,Dallas,Republican,63.4,169955
Indiana,Harrison,Republican,61.4,7246
West Virginia,Ohio,Republican,61.3,5092
Mississippi,Harrison,Republican,62.5,24248
Florida,Bradford,Republican,62.2,3560
Georgia,Mitchell,Republican,61.4,2234
Indiana,Greene,Republican,59.4,6764
Nebraska,Brown,Republican,55.6,667
New York,Wayne,Republican,61.4,7757
Louisiana,Bienville,Republican,57.8,966
Indiana,Henry,Republican,61.1,9529
Florida,Calhoun,Republican,61.9,1113
Virginia,Carroll,Republican,59.0,4467
North Carolina,Vance,Republican,59.5,1947
Mississippi,Union,Republican,59.1,4842
South Dakota,Marshall,Republican,58.8,265
Tennessee,Dyer,Republican,59.4,4977
Iowa,Louisa,Republican,60.2,724
Iowa,Marion,Republican,59.5,2872
Montana,Rosebud,Republican,57.2,1088
Virginia,Grayson,Republican,58.5,1835
Virginia,Salem,Republican,63.0,3520
Texas,Stonewall,Republican,51.8,269
Georgia,Toombs,Republican,57.5,3566
New Jersey,Morris,Republican,62.3,50681
Texas,King,Republican,61.8,109
Alabama,St. Clair,Republican,61.7,18971
Nebraska,Boyd,Republican,50.3,438
Ohio,Trumbull,Republican,59.6,28287
Kentucky,Menifee,Republican,61.4,206
New York,Yates,Republican,58.3,2464
Arkansas,Van Buren,Republican,55.7,3101
Nebraska,McPherson,Republican,54.8,164
Idaho,Payette,Republican,55.9,3266
Louisiana,LaSalle,Republican,61.2,1256
Texas,Cooke,Republican,58.4,8469
Michigan,Oakland,Republican,62.8,182622
Missouri,Ralls,Republican,58.9,2006
Kentucky,Warren,Republican,65.5,5400
Kentucky,Jefferson,Republican,62.8,33414
Iowa,Taylor,Republican,55.8,378
Iowa,Fayette,Republican,58.4,1000
Texas,Bailey,Republican,54.7,935
North Carolina,Wilkes,Republican,58.9,12301
Texas,Erath,Republican,65.5,6752
Nevada,Esmeralda,Republican,57.0,73
Tennessee,Robertson,Republican,61.4,9754
New Mexico,Grant,Republican,55.1,1544
Pennsylvania,Philadelphia,Republican,65.3,42263
Georgia,Johnson,Republican,64.9,1264
Idaho,Clearwater,Republican,58.3,1344
Georgia,Jones,Republican,60.1,4648
Illinois,Henry,Republican,58.9,8298
South Carolina,Fairfield,Republican,61.5,2559
Idaho,Clark,Republican,57.2,169
Iowa,Union,Republican,58.0,702
Texas,Midland,Republican,62.2,20347
Arkansas,Arkansas,Republican,59.5,2684
Montana,Wibaux,Republican,54.1,277
Florida,Glades,Republican,56.4,1058
Oklahoma,Adair,Republican,58.7,1525
Montana,Beaverhead,Republican,62.2,2038
Oregon,Jefferson,Republican,57.9,2487
Georgia,Charlton,Republican,67.7,1236
Louisiana,Union,Republican,59.0,1762
Missouri,St. Clair,Republican,54.9,1905
Montana,Custer,Republican,59.2,1572
Texas,Childress,Republican,63.8,927
Ohio,Pike,Republican,59.9,3581
Wisconsin,Grant,Republican,63.4,8262
Mississippi,Sunflower,Republican,65.1,1437
North Carolina,Bertie,Republican,61.4,888
Mississippi,Benton,Republican,59.7,1008
Ohio,Monroe,Republican,57.4,1981
Iowa,Guthrie,Republican,56.1,754
Mississippi,Clay,Republican,59.5,2193
Pennsylvania,Union,Republican,65.8,6214
West Virginia,Kanawha,Republican,61.4,17491
Pennsylvania,Greene,Republican,63.8,3710
Michigan,Benzie,Republican,56.9,2998
South Carolina,Florence,Republican,60.8,18121
Pennsylvania,Monroe,Republican,63.6,14150
Ohio,Jackson,Republican,60.2,5818
Texas,Shelby,Republican,57.5,4600
Alabama,Houston,Republican,60.2,19558
South Dakota,Edmunds,Republican,55.9,559
Mississippi,Tippah,Republican,59.6,3898
Mississippi,Walthall,Republican,57.7,1948
West Virginia,Ritchie,Republican,59.6,2022
Georgia,Coweta,Republican,61.9,24999
Kentucky,Edmonson,Republican,61.3,982
Wisconsin,Douglas,Republican,63.1,6504
Pennsylvania,Warren,Republican,59.5,6414
Michigan,Alpena,Republican,59.1,4113
Kentucky,Martin,Republican,66.1,966
Missouri,Stoddard,Republican,58.7,5700
Texas,Runnels,Republican,55.4,2299
Indiana,Allen,Republican,60.6,64310
Tennessee,Madison,Republican,62.1,11791
Texas,Caldwell,Republican,62.5,4409
North Carolina,Buncombe,Republican,62.5,26577
Michigan,Kent,Republican,62.7,95031
West Virginia,Clay,Republican,58.1,670
Arkansas,Poinsett,Republican,59.2,2634
Texas,La Vaca,Republican,54.5,3964
California,Riverside,Republican,60.5,97548
Arkansas,Independence,Republican,59.0,5794
West Virginia,Mineral,Republican,60.1,4022
Ohio,Lucas,Republican,62.2,51073
North Carolina,Hyde,Republican,64.3,408
Georgia,Habersham,Republican,59.4,7767
Missouri,Mississippi,Republican,61.4,1792
Tennessee,Scott,Republican,59.9,2214
Kentucky,Clark,Republican,60.9,2140
Texas,Ellis,Republican,61.1,25096
Oklahoma,Johnston,Republican,58.7,678
Idaho,Cassia,Republican,54.2,4184
Arkansas,Searcy,Republican,56.1,2336
Virginia,Fauquier,Republican,61.2,13368
Missouri,Harrison,Republican,54.3,1572
Missouri,Pulaski,Republican,69.7,5335
New Jersey,Bergen,Republican,62.3,41921
Georgia,Richmond,Republican,63.7,14891
Missouri,Wright,Republican,55.8,3979
Georgia,Chattooga,Republican,60.9,3198
Pennsylvania,Wayne,Republican,61.7,9167
Oklahoma,Atoka,Republican,59.7,730
Tennessee,Bedford,Republican,59.4,6231
Michigan,Presque Isle,Republican,54.8,2079
Idaho,Bannock,Republican,60.4,8626
Texas,McLennan,Republican,61.8,29943
Georgia,Forsyth,Republican,60.0,41757
New York,Lewis,Republican,59.8,2839
Montana,Gallatin,Republican,68.3,10972
Pennsylvania,Forest,Republican,71.3,915
Kentucky,McLean,Republican,57.7,473
Louisiana,St. Bernard,Republican,63.3,1369
Michigan,Ottawa,Republican,61.9,56980
Ohio,Licking,Republican,61.1,34335
Utah,Sanpete,Republican,59.6,1859
Alabama,Monroe,Republican,58.7,3701
Georgia,Henry,Republican,62.5,27812
South Carolina,Marion,Republican,59.5,2837
Texas,La Salle,Republican,66.1,297
Michigan,Iosco,Republican,55.0,3583
Texas,Brown,Republican,57.8,8281
Georgia,Brooks,Republican,59.5,1915
Texas,Red River,Republican,57.0,2339
Virginia,Campbell,Republican,61.8,8884
Utah,Carbon,Republican,57.8,978
West Virginia,Braxton,Republican,59.6,990
Virginia,Manassas,Republican,64.8,3833
Arkansas,Columbia,Republican,61.8,3037
Missouri,Miller,Republican,58.4,4938
New York,Sullivan,Republican,61.6,3716
Kentucky,Ballard,Republican,58.6,312
Mississippi,Adams,Republican,62.1,2942
Oklahoma,Jefferson,Republican,56.3,377
California,Santa Barbara,Republican,63.6,23240
West Virginia,Berkeley,Republican,62.5,11190
Pennsylvania,Mercer,Republican,59.9,14583
Alabama,Pike,Republican,66.5,5253
Mississippi,Pike,Republican,57.8,4255
Nebraska,York,Republican,58.9,1596
Georgia,Bleckley,Republican,61.8,2111
Alabama,Clay,Republican,59.0,3878
Texas,Kleberg,Republican,63.1,2169
Louisiana,Beauregard,Republican,60.7,2868
Ohio,Washington,Republican,60.6,12421
Missouri,Gentry,Republican,55.7,1025
Alabama,Calhoun,Republican,61.8,19377
Louisiana,St. Landry,Republican,58.1,3697
Michigan,Marquette,Republican,65.3,7293
West Virginia,Summers,Republican,61.8,1161
Texas,Kenedy,Republican,59.2,18
Louisiana,Washington,Republican,59.6,2467
Michigan,Ogemaw,Republican,56.9,3023
Texas,Knox,Republican,53.2,686
Pennsylvania,Wyoming,Republican,61.1,5209
New York,Nassau,Republican,61.5,97996
Arkansas,Izard,Republican,56.8,2044
Oklahoma,Muskogee,Republican,59.5,4968
Virginia,Emporia,Republican,58.7,375
Missouri,Polk,Republican,59.3,6354
Wisconsin,Brown,Republican,62.6,49367
Iowa,Lyon,Republican,55.0,1107
New York,Greene,Republican,62.8,3977
Arkansas,Jefferson,Republican,61.6,3708
Ohio,Marion,Republican,62.9,10762
Pennsylvania,Lebanon,Republican,58.7,23753
Indiana,Clark,Republican,62.7,17385
Tennessee,Franklin,Republican,60.0,6285
Louisiana,Morehouse,Republican,58.8,1542
South Dakota,Campbell,Republican,58.7,450
Texas,Hamilton,Republican,53.4,2104
North Carolina,Swain,Republican,58.8,1317
South Carolina,Orangeburg,Republican,60.3,6680
Texas,Bexar,Republican,62.5,128532
Iowa,O'Brien,Republican,55.8,1216
Georgia,Lowndes,Republican,64.2,11620
Illinois,Franklin,Republican,58.4,5749
Louisiana,East Baton Rouge,Republican,64.8,29031
Kentucky,Cumberland,Republican,57.9,966
Kentucky,Ohio,Republican,58.6,1620
Texas,Floyd,Republican,54.1,1270
New Mexico,Colfax,Republican,57.3,739
Georgia,Lanier,Republican,62.3,893
Kentucky,Gallatin,Republican,62.1,288
Texas,Palo Pinto,Republican,57.6,5861
Arizona,Yuma,Republican,56.4,7468
Mississippi,Calhoun,Republican,58.2,2337
Virginia,Bedford,Republican,60.2,15128
Ohio,Wayne,Republican,59.2,21006
Michigan,Allegan,Republican,60.0,19474
Arizona,Santa Cruz,Republican,55.9,1393
Illinois,Stark,Republican,55.2,1132
Kentucky,Marion,Republican,61.5,414
Nebraska,Douglas,Republican,62.7,34772
North Carolina,Davie,Republican,58.8,9064
Washington,Cowlitz,Republican,59.0,10495
Arkansas,Craighead,Republican,62.1,12007
Oklahoma,Love,Republican,56.5,509
Michigan,Clare,Republican,58.2,4026
Texas,Rockwall,Republican,60.5,16636
Maryland,Worcester,Republican,56.8,7825
Oklahoma,Lincoln,Republican,58.4,4927
Virginia,Hanover,Republican,61.6,24556
Illinois,Alexander,Republican,58.9,525
Texas,Milam,Republican,55.8,3957
Indiana,Warrick,Republican,59.3,13128
Illinois,Hancock,Republican,56.3,3376
Mississippi,Washington,Republican,59.9,2397
Georgia,Long,Republican,63.5,1123
Michigan,Cass,Republican,59.3,6943
South Carolina,Beaufort,Republican,56.0,32970
Nebraska,Polk,Republican,56.3,691
Iowa,Mahaska,Republican,59.4,1959
Texas,Nolan,Republican,57.3,2862
Pennsylvania,Clinton,Republican,62.5,4717
Nebraska,Phelps,Republican,56.1,1436
Alabama,Marshall,Republican,59.2,18092
Kentucky,Mason,Republican,59.6,671
Wisconsin,Marathon,Republican,60.7,29272
Tennessee,Jackson,Republican,60.1,1501
West Virginia,Pendleton,Republican,57.6,660
Georgia,Lincoln,Republican,60.2,1659
Kentucky,Hickman,Republican,56.6,334
North Carolina,Yadkin,Republican,59.8,7541
Ohio,Morrow,Republican,60.0,8626
Tennessee,Marshall,Republican,61.1,3774
Louisiana,Jackson,Republican,59.4,1327
Georgia,Monroe,Republican,62.3,5480
Ohio,Summit,Republican,62.1,153957
New York,Niagara,Republican,62.3,16214
Iowa,Des Moines,Republican,58.2,2162
Missouri,Atchison,Republican,56.2,1070
Kentucky,Daviess,Republican,59.7,4654
Nevada,Storey,Republican,59.7,375
Mississippi,Leflore,Republican,60.4,1559
South Carolina,Darlington,Republican,60.4,8879
Florida,Hernando,Republican,53.8,26393
Texas,Hidalgo,Republican,56.0,17949
Louisiana,East Feliciana,Republican,64.6,1557
Texas,Polk,Republican,59.6,7422
South Carolina,Colleton,Republican,58.4,5372
North Carolina,Cherokee,Republican,55.4,5477
Iowa,Winneshiek,Republican,63.0,1042
Indiana,Spencer,Republican,59.4,4020
West Virginia,Morgan,Republican,60.1,3342
Missouri,Barton,Republican,56.4,2819
New York,Bronx,Republican,63.3,6316
Maryland,Allegany,Republican,63.2,9214
Pennsylvania,Erie,Republican,62.4,29495
Ohio,Ross,Republican,63.1,11907
New York,Dutchess,Republican,64.3,19324
North Carolina,Robeson,Republican,61.1,3910
Indiana,LaPorte,Republican,62.2,14852
Nebraska,Butler,Republican,55.8,1333
New York,Monroe,Republican,63.0,52383
Ohio,Lake,Republican,61.1,43367
North Carolina,Johnston,Republican,61.3,23933
Montana,Daniels,Republican,53.8,407
Texas,Hood,Republican,55.3,13734
New York,Jefferson,Republican,63.0,8713
Oregon,Deschutes,Republican,60.4,21008
North Carolina,Alamance,Republican,61.0,16554
Virginia,Franklin,Republican,59.5,8122
Virginia,Radford,Republican,78.8,1413
South Carolina,Williamsburg,Republican,60.4,2739
Nevada,Douglas,Republican,57.3,4609
Indiana,Dearborn,Republican,61.1,10078
Mississippi,Pearl River,Republican,59.5,8864
Missouri,LaClede,Republican,58.4,7485
Alabama,Walker,Republican,59.7,14883
Arkansas,Pike,Republican,58.6,1477
Oregon,Klamath,Republican,59.3,11385
Texas,Bastrop,Republican,60.8,10323
Missouri,Maries,Republican,58.8,1855
Nebraska,Knox,Republican,52.1,937
Oklahoma,Pawnee,Republican,57.7,1940
Iowa,Clayton,Republican,56.9,846
Wisconsin,La Crosse,Republican,64.8,19341
Alabama,Pickens,Republican,61.7,2487
Maryland,Montgomery,Republican,62.8,43496
Texas,Freestone,Republican,58.7,4561
Illinois,Marshall,Republican,58.3,2707
Tennessee,Hawkins,Republican,59.7,8875
North Carolina,Martin,Republican,58.7,1831
Utah,Summit,Republican,64.0,1542
Ohio,Auglaize,Republican,58.7,11253
Virginia,Patrick,Republican,57.7,2500
Washington,Spokane,Republican,62.7,47688
Illinois,Hardin,Republican,56.7,913
Florida,Lake,Republican,54.2,52103
North Carolina,Chatham,Republican,56.1,8763
Arkansas,Polk,Republican,54.9,4444
Florida,Pinellas,Republican,59.9,124056
New York,Rockland,Republican,57.5,14038
Tennessee,Obion,Republican,58.9,4422
Wisconsin,Shawano,Republican,58.3,9110
California,Orange,Republican,63.9,185017
Florida,Lafayette,Republican,65.9,1045
Texas,Calhoun,Republican,58.8,3378
Texas,Clay,Republican,58.1,2817
Florida,Pasco,Republican,57.0,63611
Ohio,Erie,Republican,59.3,12473
Oklahoma,Choctaw,Republican,56.1,699
South Dakota,Kingsbury,Republican,56.4,638
Idaho,Custer,Republican,58.7,980
California,Sacramento,Republican,62.8,55357
Kentucky,Fleming,Republican,59.5,758
Virginia,Hampton,Republican,64.6,9386
Tennessee,Hardin,Republican,58.2,3764
Illinois,Union,Republican,59.1,2996
Kentucky,Mercer,Republican,59.8,1360
South Carolina,Calhoun,Republican,59.9,2289
California,Santa Cruz,Republican,66.4,8243
Kentucky,Hancock,Republican,58.4,493
Texas,Brewster,Republican,61.0,1143
Virginia,Buckingham,Republican,64.3,1631
California,Ventura,Republican,62.2,49779
North Carolina,Macon,Republican,54.7,6183
Tennessee,Humphreys,Republican,59.0,2314
Virginia,Wise,Republican,64.1,3652
Indiana,Vermillion,Republican,59.2,2442
Florida,Washington,Republican,62.9,3717
Wisconsin,Ozaukee,Republican,60.5,27512
Louisiana,Iberia,Republican,60.2,4712
Florida,Martin,Republican,53.9,30310
Texas,Lynn,Republican,56.9,1274
Kentucky,Pike,Republican,63.1,1556
Arkansas,Pope,Republican,62.8,9315
Florida,Orange,Republican,66.5,99719
Pennsylvania,Huntingdon,Republican,62.5,8091
Virginia,Bath,Republican,59.0,589
California,Glenn,Republican,58.4,2011
Mississippi,Coahoma,Republican,59.1,1084
Georgia,Chattahoochee,Republican,73.3,316
Nebraska,Scotts Bluff,Republican,57.8,3578
Georgia,Towns,Republican,54.0,2916
Virginia,Henrico,Republican,62.8,44166
West Virginia,Preston,Republican,63.3,4870
Mississippi,Jackson,Republican,61.6,19835
Idaho,Nez Perce,Republican,59.4,3786
Illinois,Madison,Republican,62.1,35272
Tennessee,Hamilton,Republican,62.8,49717
California,Amador,Republican,59.6,4256
Arizona,Mohave,Republican,54.4,19921
Oklahoma,LeFlore,Republican,59.1,3002
Nebraska,Gosper,Republican,55.5,342
Virginia,Chesapeake,Republican,63.7,28443
Montana,Phillips,Republican,56.9,1252
