"county","state","party","liczba_weteranów","liczba_gł_republikanie","liczba_gł_demokraci"
Scott,Arkansas,Republican,"0 - 1 tyś",616921,341281
Dewey,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Mitchell,Texas,Republican,"0 - 1 tyś",616921,341281
Bennett,South Dakota,Republican,"0 - 1 tyś",616921,341281
Hardin,Illinois,Democrat,"0 - 1 tyś",616921,341281
Jasper,Georgia,Democrat,"0 - 1 tyś",616921,341281
Kingfisher,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Holt,Missouri,Republican,"0 - 1 tyś",616921,341281
Calhoun,Arkansas,Democrat,"0 - 1 tyś",616921,341281
Cotton,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Deuel,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Zavala,Texas,Republican,"0 - 1 tyś",616921,341281
Huerfano,Colorado,Democrat,"0 - 1 tyś",616921,341281
Sequatchie,Tennessee,Republican,"0 - 1 tyś",616921,341281
Washita,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Grant,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Guadalupe,New Mexico,Democrat,"0 - 1 tyś",616921,341281
Crowley,Colorado,Democrat,"0 - 1 tyś",616921,341281
Stanley,South Dakota,Republican,"0 - 1 tyś",616921,341281
Holt,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Cimarron,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Treasure,Montana,Democrat,"0 - 1 tyś",616921,341281
Evans,Georgia,Democrat,"0 - 1 tyś",616921,341281
Ringgold,Iowa,Democrat,"0 - 1 tyś",616921,341281
Tyler,West Virginia,Democrat,"0 - 1 tyś",616921,341281
Box Butte,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Jeff Davis,Georgia,Republican,"0 - 1 tyś",616921,341281
Baraga,Michigan,Republican,"0 - 1 tyś",616921,341281
Moody,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Major,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Franklin,Idaho,Republican,"0 - 1 tyś",616921,341281
Norton,Virginia,Democrat,"0 - 1 tyś",616921,341281
Carroll,Missouri,Democrat,"0 - 1 tyś",616921,341281
Bracken,Kentucky,Republican,"0 - 1 tyś",616921,341281
Bailey,Texas,Republican,"0 - 1 tyś",616921,341281
Morgan,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Surry,Virginia,Republican,"0 - 1 tyś",616921,341281
Irion,Texas,Democrat,"0 - 1 tyś",616921,341281
Cass,Illinois,Republican,"0 - 1 tyś",616921,341281
Daniels,Montana,Democrat,"0 - 1 tyś",616921,341281
Kimble,Texas,Republican,"0 - 1 tyś",616921,341281
Chouteau,Montana,Republican,"0 - 1 tyś",616921,341281
Webster,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Kane,Utah,Republican,"0 - 1 tyś",616921,341281
Grand,Utah,Democrat,"0 - 1 tyś",616921,341281
Radford,Virginia,Republican,"0 - 1 tyś",616921,341281
Winkler,Texas,Republican,"0 - 1 tyś",616921,341281
Clinch,Georgia,Republican,"0 - 1 tyś",616921,341281
Quitman,Georgia,Republican,"0 - 1 tyś",616921,341281
Hidalgo,New Mexico,Democrat,"0 - 1 tyś",616921,341281
Ochiltree,Texas,Republican,"0 - 1 tyś",616921,341281
Choctaw,Alabama,Democrat,"0 - 1 tyś",616921,341281
Audubon,Iowa,Democrat,"0 - 1 tyś",616921,341281
Mellette,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Pulaski,Indiana,Republican,"0 - 1 tyś",616921,341281
Linn,Missouri,Democrat,"0 - 1 tyś",616921,341281
Houston,Tennessee,Republican,"0 - 1 tyś",616921,341281
Hamilton,Nebraska,Republican,"0 - 1 tyś",616921,341281
Chariton,Missouri,Republican,"0 - 1 tyś",616921,341281
Nance,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Baker,Georgia,Democrat,"0 - 1 tyś",616921,341281
Dallam,Texas,Republican,"0 - 1 tyś",616921,341281
Valley,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Ida,Iowa,Democrat,"0 - 1 tyś",616921,341281
Cumberland,Illinois,Democrat,"0 - 1 tyś",616921,341281
Duchesne,Utah,Democrat,"0 - 1 tyś",616921,341281
Cumberland,Illinois,Republican,"0 - 1 tyś",616921,341281
Hall,Texas,Democrat,"0 - 1 tyś",616921,341281
Talbot,Georgia,Republican,"0 - 1 tyś",616921,341281
Essex,Virginia,Republican,"0 - 1 tyś",616921,341281
Mitchell,North Carolina,Republican,"0 - 1 tyś",616921,341281
Antelope,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Lynn,Texas,Democrat,"0 - 1 tyś",616921,341281
Lanier,Georgia,Republican,"0 - 1 tyś",616921,341281
Pondera,Montana,Republican,"0 - 1 tyś",616921,341281
Bath,Kentucky,Republican,"0 - 1 tyś",616921,341281
Day,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Arthur,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Cotton,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Jeff Davis,Texas,Democrat,"0 - 1 tyś",616921,341281
Mercer,Missouri,Democrat,"0 - 1 tyś",616921,341281
Colfax,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Quitman,Mississippi,Republican,"0 - 1 tyś",616921,341281
Hooker,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Saline,Nebraska,Republican,"0 - 1 tyś",616921,341281
Reagan,Texas,Democrat,"0 - 1 tyś",616921,341281
Woods,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Candler,Georgia,Republican,"0 - 1 tyś",616921,341281
Rock,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Calhoun,Iowa,Democrat,"0 - 1 tyś",616921,341281
Delta,Texas,Republican,"0 - 1 tyś",616921,341281
Montgomery,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Love,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Green,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Emmet,Iowa,Democrat,"0 - 1 tyś",616921,341281
Candler,Georgia,Democrat,"0 - 1 tyś",616921,341281
Clarke,Iowa,Democrat,"0 - 1 tyś",616921,341281
Trimble,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Clay,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Calhoun,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Van Buren,Iowa,Republican,"0 - 1 tyś",616921,341281
Pierce,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Cheyenne,Colorado,Democrat,"0 - 1 tyś",616921,341281
Storey,Nevada,Democrat,"0 - 1 tyś",616921,341281
Colfax,Nebraska,Republican,"0 - 1 tyś",616921,341281
Ferry,Washington,Republican,"0 - 1 tyś",616921,341281
Rosebud,Montana,Democrat,"0 - 1 tyś",616921,341281
Monroe,Arkansas,Democrat,"0 - 1 tyś",616921,341281
Polk,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Sheridan,Nebraska,Republican,"0 - 1 tyś",616921,341281
Calhoun,Iowa,Republican,"0 - 1 tyś",616921,341281
Lander,Nevada,Republican,"0 - 1 tyś",616921,341281
Gallatin,Illinois,Democrat,"0 - 1 tyś",616921,341281
Conejos,Colorado,Democrat,"0 - 1 tyś",616921,341281
Edwards,Texas,Democrat,"0 - 1 tyś",616921,341281
Yuma,Colorado,Democrat,"0 - 1 tyś",616921,341281
Lucas,Iowa,Democrat,"0 - 1 tyś",616921,341281
Decatur,Iowa,Democrat,"0 - 1 tyś",616921,341281
Trousdale,Tennessee,Republican,"0 - 1 tyś",616921,341281
Oglala Lakota,South Dakota,Republican,"0 - 1 tyś",616921,341281
Kiowa,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Merrick,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Wayne,Utah,Republican,"0 - 1 tyś",616921,341281
Trimble,Kentucky,Republican,"0 - 1 tyś",616921,341281
Perry,Alabama,Democrat,"0 - 1 tyś",616921,341281
Franklin,Iowa,Democrat,"0 - 1 tyś",616921,341281
Hyde,South Dakota,Republican,"0 - 1 tyś",616921,341281
Lincoln,Arkansas,Republican,"0 - 1 tyś",616921,341281
Owyhee,Idaho,Democrat,"0 - 1 tyś",616921,341281
Juab,Utah,Democrat,"0 - 1 tyś",616921,341281
Scotland,Missouri,Republican,"0 - 1 tyś",616921,341281
Jackson,Texas,Democrat,"0 - 1 tyś",616921,341281
Twiggs,Georgia,Democrat,"0 - 1 tyś",616921,341281
Ida,Iowa,Republican,"0 - 1 tyś",616921,341281
Lawrence,Kentucky,Republican,"0 - 1 tyś",616921,341281
Kane,Utah,Democrat,"0 - 1 tyś",616921,341281
Charles Mix,South Dakota,Republican,"0 - 1 tyś",616921,341281
Pepin,Wisconsin,Democrat,"0 - 1 tyś",616921,341281
Shannon,Missouri,Republican,"0 - 1 tyś",616921,341281
Wilkinson,Mississippi,Republican,"0 - 1 tyś",616921,341281
Robertson,Texas,Republican,"0 - 1 tyś",616921,341281
Dade,Missouri,Republican,"0 - 1 tyś",616921,341281
Tyrrell,North Carolina,Republican,"0 - 1 tyś",616921,341281
Frio,Texas,Democrat,"0 - 1 tyś",616921,341281
Miner,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Crittenden,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Guadalupe,New Mexico,Republican,"0 - 1 tyś",616921,341281
Juab,Utah,Republican,"0 - 1 tyś",616921,341281
Dimmit,Texas,Democrat,"0 - 1 tyś",616921,341281
Aurora,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Crosby,Texas,Republican,"0 - 1 tyś",616921,341281
Franklin,Texas,Democrat,"0 - 1 tyś",616921,341281
Douglas,South Dakota,Republican,"0 - 1 tyś",616921,341281
Woods,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Humphreys,Mississippi,Republican,"0 - 1 tyś",616921,341281
Washington,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Coke,Texas,Democrat,"0 - 1 tyś",616921,341281
Bleckley,Georgia,Democrat,"0 - 1 tyś",616921,341281
Hall,Texas,Republican,"0 - 1 tyś",616921,341281
Shelby,Missouri,Republican,"0 - 1 tyś",616921,341281
Mineral,Montana,Republican,"0 - 1 tyś",616921,341281
Bacon,Georgia,Democrat,"0 - 1 tyś",616921,341281
Luce,Michigan,Democrat,"0 - 1 tyś",616921,341281
Sullivan,Pennsylvania,Democrat,"0 - 1 tyś",616921,341281
Madison,Idaho,Republican,"0 - 1 tyś",616921,341281
Jeff Davis,Texas,Republican,"0 - 1 tyś",616921,341281
Howard,Missouri,Republican,"0 - 1 tyś",616921,341281
Kenedy,Texas,Democrat,"0 - 1 tyś",616921,341281
Sherman,Texas,Democrat,"0 - 1 tyś",616921,341281
Todd,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Keokuk,Iowa,Democrat,"0 - 1 tyś",616921,341281
Powder River,Montana,Republican,"0 - 1 tyś",616921,341281
Hardin,Illinois,Republican,"0 - 1 tyś",616921,341281
Lawrence,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Hamilton,New York,Democrat,"0 - 1 tyś",616921,341281
Jim Hogg,Texas,Democrat,"0 - 1 tyś",616921,341281
Golden Valley,Montana,Democrat,"0 - 1 tyś",616921,341281
Taliaferro,Georgia,Republican,"0 - 1 tyś",616921,341281
Howard,Iowa,Democrat,"0 - 1 tyś",616921,341281
Platte,Wyoming,Democrat,"0 - 1 tyś",616921,341281
Choctaw,Alabama,Republican,"0 - 1 tyś",616921,341281
Wibaux,Montana,Republican,"0 - 1 tyś",616921,341281
Nevada,Arkansas,Democrat,"0 - 1 tyś",616921,341281
Jackson,Tennessee,Democrat,"0 - 1 tyś",616921,341281
Nowata,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Hartley,Texas,Democrat,"0 - 1 tyś",616921,341281
Winn,Louisiana,Republican,"0 - 1 tyś",616921,341281
Fulton,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Fulton,Kentucky,Republican,"0 - 1 tyś",616921,341281
Aurora,South Dakota,Republican,"0 - 1 tyś",616921,341281
Manassas Park,Virginia,Democrat,"0 - 1 tyś",616921,341281
Tillman,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Loving,Texas,Republican,"0 - 1 tyś",616921,341281
Benton,Mississippi,Republican,"0 - 1 tyś",616921,341281
Clark,Missouri,Republican,"0 - 1 tyś",616921,341281
Alpine,California,Republican,"0 - 1 tyś",616921,341281
Goliad,Texas,Republican,"0 - 1 tyś",616921,341281
Smith,Mississippi,Republican,"0 - 1 tyś",616921,341281
Jones,South Dakota,Republican,"0 - 1 tyś",616921,341281
Reeves,Texas,Republican,"0 - 1 tyś",616921,341281
Butler,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Moore,Texas,Democrat,"0 - 1 tyś",616921,341281
Vinton,Ohio,Democrat,"0 - 1 tyś",616921,341281
Power,Idaho,Republican,"0 - 1 tyś",616921,341281
Potter,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Owsley,Kentucky,Republican,"0 - 1 tyś",616921,341281
Osceola,Iowa,Democrat,"0 - 1 tyś",616921,341281
Clay,Nebraska,Republican,"0 - 1 tyś",616921,341281
Dundy,Nebraska,Republican,"0 - 1 tyś",616921,341281
Wheeler,Georgia,Republican,"0 - 1 tyś",616921,341281
Rich,Utah,Republican,"0 - 1 tyś",616921,341281
Foard,Texas,Democrat,"0 - 1 tyś",616921,341281
Grundy,Iowa,Democrat,"0 - 1 tyś",616921,341281
Blaine,Montana,Republican,"0 - 1 tyś",616921,341281
Donley,Texas,Republican,"0 - 1 tyś",616921,341281
Fillmore,Nebraska,Republican,"0 - 1 tyś",616921,341281
Fisher,Texas,Republican,"0 - 1 tyś",616921,341281
Sullivan,Missouri,Republican,"0 - 1 tyś",616921,341281
Metcalfe,Kentucky,Republican,"0 - 1 tyś",616921,341281
Caldwell,Louisiana,Republican,"0 - 1 tyś",616921,341281
Monona,Iowa,Democrat,"0 - 1 tyś",616921,341281
Campbell,South Dakota,Republican,"0 - 1 tyś",616921,341281
Knox,Texas,Democrat,"0 - 1 tyś",616921,341281
Falls Church,Virginia,Democrat,"0 - 1 tyś",616921,341281
Bleckley,Georgia,Republican,"0 - 1 tyś",616921,341281
Grant,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Gilmer,West Virginia,Democrat,"0 - 1 tyś",616921,341281
Donley,Texas,Democrat,"0 - 1 tyś",616921,341281
Noxubee,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Wilbarger,Texas,Republican,"0 - 1 tyś",616921,341281
Faulk,South Dakota,Republican,"0 - 1 tyś",616921,341281
Piute,Utah,Republican,"0 - 1 tyś",616921,341281
Jim Hogg,Texas,Republican,"0 - 1 tyś",616921,341281
Wirt,West Virginia,Republican,"0 - 1 tyś",616921,341281
Dimmit,Texas,Republican,"0 - 1 tyś",616921,341281
Dixon,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Louisa,Iowa,Democrat,"0 - 1 tyś",616921,341281
Adair,Iowa,Republican,"0 - 1 tyś",616921,341281
Covington,Virginia,Republican,"0 - 1 tyś",616921,341281
Schleicher,Texas,Democrat,"0 - 1 tyś",616921,341281
Franklin,Nebraska,Republican,"0 - 1 tyś",616921,341281
Pocahontas,West Virginia,Democrat,"0 - 1 tyś",616921,341281
Jeff Davis,Mississippi,Republican,"0 - 1 tyś",616921,341281
Goliad,Texas,Democrat,"0 - 1 tyś",616921,341281
Walthall,Mississippi,Republican,"0 - 1 tyś",616921,341281
Dawson,Montana,Democrat,"0 - 1 tyś",616921,341281
Toole,Montana,Republican,"0 - 1 tyś",616921,341281
Sublette,Wyoming,Democrat,"0 - 1 tyś",616921,341281
Hyde,North Carolina,Democrat,"0 - 1 tyś",616921,341281
Pocahontas,Iowa,Republican,"0 - 1 tyś",616921,341281
Clinton,Kentucky,Republican,"0 - 1 tyś",616921,341281
Logan,Nebraska,Republican,"0 - 1 tyś",616921,341281
Kingsbury,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Decatur,Iowa,Republican,"0 - 1 tyś",616921,341281
Greene,Iowa,Democrat,"0 - 1 tyś",616921,341281
Fisher,Texas,Democrat,"0 - 1 tyś",616921,341281
Hayes,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Robertson,Texas,Democrat,"0 - 1 tyś",616921,341281
Lipscomb,Texas,Republican,"0 - 1 tyś",616921,341281
Clay,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Todd,South Dakota,Republican,"0 - 1 tyś",616921,341281
Lincoln,Idaho,Republican,"0 - 1 tyś",616921,341281
Thayer,Nebraska,Democrat,"0 - 1 tyś",616921,341281
La Salle,Texas,Republican,"0 - 1 tyś",616921,341281
Gilliam,Oregon,Republican,"0 - 1 tyś",616921,341281
Castro,Texas,Democrat,"0 - 1 tyś",616921,341281
Parmer,Texas,Republican,"0 - 1 tyś",616921,341281
Dallam,Texas,Democrat,"0 - 1 tyś",616921,341281
Charles City,Virginia,Democrat,"0 - 1 tyś",616921,341281
Houston,Tennessee,Democrat,"0 - 1 tyś",616921,341281
Hemphill,Texas,Democrat,"0 - 1 tyś",616921,341281
Knott,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Judith Basin,Montana,Republican,"0 - 1 tyś",616921,341281
Macon,Georgia,Democrat,"0 - 1 tyś",616921,341281
Esmeralda,Nevada,Republican,"0 - 1 tyś",616921,341281
Coosa,Alabama,Democrat,"0 - 1 tyś",616921,341281
Dallas,Arkansas,Republican,"0 - 1 tyś",616921,341281
McCook,South Dakota,Republican,"0 - 1 tyś",616921,341281
Mitchell,North Carolina,Democrat,"0 - 1 tyś",616921,341281
Taylor,Georgia,Republican,"0 - 1 tyś",616921,341281
Jasper,Illinois,Republican,"0 - 1 tyś",616921,341281
Harding,New Mexico,Democrat,"0 - 1 tyś",616921,341281
Wasatch,Utah,Democrat,"0 - 1 tyś",616921,341281
San Juan,Utah,Democrat,"0 - 1 tyś",616921,341281
Desha,Arkansas,Democrat,"0 - 1 tyś",616921,341281
Butler,Nebraska,Republican,"0 - 1 tyś",616921,341281
Lewis,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Crockett,Tennessee,Republican,"0 - 1 tyś",616921,341281
Fremont,Idaho,Democrat,"0 - 1 tyś",616921,341281
Kiowa,Colorado,Democrat,"0 - 1 tyś",616921,341281
Lipscomb,Texas,Democrat,"0 - 1 tyś",616921,341281
Bath,Virginia,Republican,"0 - 1 tyś",616921,341281
Webster,Nebraska,Republican,"0 - 1 tyś",616921,341281
Hooker,Nebraska,Republican,"0 - 1 tyś",616921,341281
Union,Indiana,Republican,"0 - 1 tyś",616921,341281
Highland,Virginia,Republican,"0 - 1 tyś",616921,341281
Lucas,Iowa,Republican,"0 - 1 tyś",616921,341281
Radford,Virginia,Democrat,"0 - 1 tyś",616921,341281
Leslie,Kentucky,Democrat,"0 - 1 tyś",616921,341281
Warren,Georgia,Republican,"0 - 1 tyś",616921,341281
Tensas,Louisiana,Democrat,"0 - 1 tyś",616921,341281
Haskell,Texas,Democrat,"0 - 1 tyś",616921,341281
Monroe,Missouri,Republican,"0 - 1 tyś",616921,341281
Florence,Wisconsin,Democrat,"0 - 1 tyś",616921,341281
Lake,South Dakota,Republican,"0 - 1 tyś",616921,341281
Miner,South Dakota,Republican,"0 - 1 tyś",616921,341281
Bullock,Alabama,Democrat,"0 - 1 tyś",616921,341281
Somervell,Texas,Democrat,"0 - 1 tyś",616921,341281
Greenlee,Arizona,Democrat,"0 - 1 tyś",616921,341281
Wheatland,Montana,Democrat,"0 - 1 tyś",616921,341281
Mineral,Montana,Democrat,"0 - 1 tyś",616921,341281
Kemper,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Iron,Wisconsin,Democrat,"0 - 1 tyś",616921,341281
Pulaski,Georgia,Democrat,"0 - 1 tyś",616921,341281
Webster,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Coosa,Alabama,Republican,"0 - 1 tyś",616921,341281
McMullen,Texas,Democrat,"0 - 1 tyś",616921,341281
Morgan,Utah,Democrat,"0 - 1 tyś",616921,341281
Woodruff,Arkansas,Democrat,"0 - 1 tyś",616921,341281
Quay,New Mexico,Democrat,"0 - 1 tyś",616921,341281
Concho,Texas,Democrat,"0 - 1 tyś",616921,341281
Monroe,Kentucky,Republican,"0 - 1 tyś",616921,341281
Holmes,Mississippi,Republican,"0 - 1 tyś",616921,341281
Grant,South Dakota,Republican,"0 - 1 tyś",616921,341281
Dickenson,Virginia,Democrat,"0 - 1 tyś",616921,341281
Clarke,Iowa,Republican,"0 - 1 tyś",616921,341281
Pulaski,Indiana,Democrat,"0 - 1 tyś",616921,341281
Harper,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Lake,Oregon,Democrat,"0 - 1 tyś",616921,341281
Benton,Indiana,Republican,"0 - 1 tyś",616921,341281
Weston,Wyoming,Democrat,"0 - 1 tyś",616921,341281
Fallon,Montana,Democrat,"0 - 1 tyś",616921,341281
Early,Georgia,Democrat,"0 - 1 tyś",616921,341281
Newton,Indiana,Republican,"0 - 1 tyś",616921,341281
Teton,Idaho,Democrat,"0 - 1 tyś",616921,341281
Schuyler,Illinois,Republican,"0 - 1 tyś",616921,341281
Grant,Oregon,Democrat,"0 - 1 tyś",616921,341281
Fleming,Kentucky,Republican,"0 - 1 tyś",616921,341281
Washakie,Wyoming,Democrat,"0 - 1 tyś",616921,341281
Ellis,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Carter,Montana,Republican,"0 - 1 tyś",616921,341281
Bon Homme,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Buffalo,South Dakota,Republican,"0 - 1 tyś",616921,341281
Polk,Nebraska,Republican,"0 - 1 tyś",616921,341281
Kimble,Texas,Democrat,"0 - 1 tyś",616921,341281
Seminole,Georgia,Democrat,"0 - 1 tyś",616921,341281
Union,Tennessee,Republican,"0 - 1 tyś",616921,341281
Harmon,Oklahoma,Republican,"0 - 1 tyś",616921,341281
Madison,Montana,Democrat,"0 - 1 tyś",616921,341281
Powder River,Montana,Democrat,"0 - 1 tyś",616921,341281
Lexington,Virginia,Democrat,"0 - 1 tyś",616921,341281
Armstrong,Texas,Republican,"0 - 1 tyś",616921,341281
Franklin,Iowa,Republican,"0 - 1 tyś",616921,341281
Latimer,Oklahoma,Democrat,"0 - 1 tyś",616921,341281
Phelps,Nebraska,Republican,"0 - 1 tyś",616921,341281
Moore,Tennessee,Democrat,"0 - 1 tyś",616921,341281
Sweet Grass,Montana,Republican,"0 - 1 tyś",616921,341281
Winnebago,Iowa,Democrat,"0 - 1 tyś",616921,341281
West Carroll,Louisiana,Democrat,"0 - 1 tyś",616921,341281
Pershing,Nevada,Democrat,"0 - 1 tyś",616921,341281
Franklin,Mississippi,Democrat,"0 - 1 tyś",616921,341281
Knox,Missouri,Democrat,"0 - 1 tyś",616921,341281
Worth,Missouri,Republican,"0 - 1 tyś",616921,341281
Lamb,Texas,Democrat,"0 - 1 tyś",616921,341281
Montgomery,Iowa,Democrat,"0 - 1 tyś",616921,341281
Loving,Texas,Democrat,"0 - 1 tyś",616921,341281
Bennett,South Dakota,Democrat,"0 - 1 tyś",616921,341281
Nuckolls,Nebraska,Republican,"0 - 1 tyś",616921,341281
Hudspeth,Texas,Democrat,"0 - 1 tyś",616921,341281
Palo Alto,Iowa,Republican,"0 - 1 tyś",616921,341281
San Augustine,Texas,Democrat,"0 - 1 tyś",616921,341281
Newton,Indiana,Democrat,"0 - 1 tyś",616921,341281
Falls Church,Virginia,Republican,"0 - 1 tyś",616921,341281
Franklin,Nebraska,Democrat,"0 - 1 tyś",616921,341281
Pulaski,Illinois,Republican,"0 - 1 tyś",616921,341281
San Miguel,Colorado,Democrat,"0 - 1 tyś",616921,341281
Jackson,Texas,Republican,"0 - 1 tyś",616921,341281
