"state","county","party","weterani_hr","liczba_glosow"
New York,Suffolk,Republican,83254,95643
Ohio,Coshocton,Republican,3352,6390
Nevada,Carson City,Republican,6232,2438
Florida,Levy,Republican,4599,6270
Missouri,Johnson,Republican,6242,7218
South Dakota,Union,Republican,1225,945
North Carolina,Vance,Republican,3202,1947
Oklahoma,Wagoner,Republican,6644,11417
New Mexico,Torrance,Republican,1679,1343
Louisiana,Catahoula,Republican,692,608
Tennessee,Henderson,Republican,2093,3876
Ohio,Defiance,Republican,3211,8209
California,Placer,Republican,29780,31276
Kentucky,Lewis,Republican,880,1162
Michigan,Keweenaw,Republican,351,415
Georgia,Pulaski,Republican,932,1309
Florida,Lee,Republican,63839,103372
Nebraska,Holt,Republican,821,1723
South Dakota,Dewey,Republican,309,232
Wisconsin,Menominee,Republican,342,176
Virginia,Richmond,Republican,512,820
Missouri,Adair,Republican,1591,3380
Indiana,Vanderburgh,Republican,13397,26001
Missouri,New Madrid,Republican,1681,2453
Iowa,Adams,Republican,353,272
Nebraska,Blaine,Republican,46,125
Missouri,Phelps,Republican,4190,7375
Virginia,Dickenson,Republican,955,1493
Arkansas,Union,Republican,3090,3262
Nebraska,Sheridan,Republican,536,998
Iowa,Dickinson,Republican,1737,1201
Nebraska,Red Willow,Republican,890,1532
Michigan,Montmorency,Republican,1323,1929
Pennsylvania,Perry,Republican,4083,9192
Ohio,Montgomery,Republican,45106,87012
Alabama,Conecuh,Republican,1101,1271
Michigan,Missaukee,Republican,1237,2899
Iowa,Ringgold,Republican,401,331
Texas,Kinney,Republican,497,495
Illinois,Piatt,Republican,1324,4476
Missouri,Scott,Republican,3010,6664
Tennessee,Loudon,Republican,5244,10156
Virginia,Harrisonburg,Republican,1646,3890
New Mexico,San Juan,Republican,7752,7354
West Virginia,Ritchie,Republican,1051,2022
Kentucky,Estill,Republican,938,600
Wisconsin,Waushara,Republican,2616,5152
Ohio,Stark,Republican,31484,68099
Oklahoma,Carter,Republican,4039,4083
Nevada,Lincoln,Republican,591,285
Mississippi,Lafayette,Republican,2287,6765
Illinois,Marshall,Republican,1118,2707
Georgia,DeKalb,Republican,41447,43512
New York,Chenango,Republican,4096,4642
Kentucky,Spencer,Republican,1316,1656
Ohio,Adams,Republican,1952,5241
Kentucky,Ballard,Republican,739,312
Montana,Lewis and Clark,Republican,6310,7823
North Carolina,Iredell,Republican,11179,27154
Virginia,Franklin City,Republican,839,754
Tennessee,Union,Republican,998,2385
Illinois,McHenry,Republican,17482,39324
Nebraska,Dawes,Republican,777,1213
Oklahoma,Tulsa,Republican,43454,86869
Michigan,St. Joseph,Republican,4414,7474
Texas,Lamar,Republican,3800,9522
Ohio,Huron,Republican,4615,9499
Indiana,Madison,Republican,10329,21666
Oklahoma,McCurtain,Republican,2605,1331
Michigan,Houghton,Republican,2979,4237
Illinois,Lawrence,Republican,1239,2525
Montana,Park,Republican,1386,2289
Iowa,Worth,Republican,706,375
Oregon,Polk,Republican,6818,9172
North Carolina,Wayne,Republican,11977,11349
Virginia,Radford,Republican,918,1413
Georgia,Taylor,Republican,668,1047
Arkansas,Ouachita,Republican,2039,2674
Florida,Gulf,Republican,1384,2036
Wisconsin,Douglas,Republican,3978,6504
California,Santa Cruz,Republican,12471,8243
Ohio,Lawrence,Republican,5615,11834
Texas,Galveston,Republican,21663,38146
Virginia,Charlottesville,Republican,1742,2784
California,Yolo,Republican,10321,6756
New York,Tioga,Republican,4423,5614
New Mexico,Taos,Republican,3103,660
Arkansas,Cleburne,Republican,3158,6698
Montana,Beaverhead,Republican,979,2038
Texas,Wise,Republican,4581,10830
Tennessee,Weakley,Republican,2653,4194
Kentucky,Green,Republican,741,1316
Louisiana,Union,Republican,1730,1762
Virginia,Staunton,Republican,1819,3148
Georgia,Baker,Republican,136,424
Pennsylvania,Potter,Republican,1727,3467
Louisiana,Bossier,Republican,12194,10692
Kentucky,Marshall,Republican,2837,1591
Pennsylvania,Bradford,Republican,5825,10361
New York,Yates,Republican,2015,2464
South Carolina,Lancaster,Republican,6294,12377
North Carolina,Rockingham,Republican,6818,10834
Arkansas,Chicot,Republican,905,785
Kentucky,Hardin,Republican,14266,4803
Montana,Wheatland,Republican,223,442
Texas,Refugio,Republican,601,929
Idaho,Clark,Republican,41,169
Kentucky,Lincoln,Republican,1636,1246
California,Alameda,Republican,63738,28267
Ohio,Jackson,Republican,2941,5818
Iowa,Guthrie,Republican,898,754
Mississippi,Rankin,Republican,9765,28680
Arkansas,Columbia,Republican,1508,3037
Indiana,Warrick,Republican,4677,13128
Mississippi,Marion,Republican,1646,4600
Illinois,Wabash,Republican,918,2228
Georgia,Morgan,Republican,1357,4099
Georgia,Telfair,Republican,1021,1193
Nebraska,Pawnee,Republican,201,324
Texas,Webb,Republican,5997,3914
Missouri,Iron,Republican,1087,1590
Alabama,Coffee,Republican,6066,10078
Pennsylvania,Delaware,Republican,34153,78459
Pennsylvania,Clearfield,Republican,7849,11472
Wisconsin,St. Croix,Republican,5830,16247
Maryland,Worcester,Republican,5267,7825
Georgia,Montgomery,Republican,562,1437
Georgia,Glascock,Republican,181,674
Mississippi,Forrest,Republican,5360,9594
Louisiana,Acadia,Republican,3417,3680
Oklahoma,Washington,Republican,4494,9241
Montana,Powder River,Republican,136,605
Illinois,Livingston,Republican,2815,7931
Virginia,King and Queen,Republican,703,827
Florida,Holmes,Republican,1872,2569
West Virginia,Upshur,Republican,1966,3949
Missouri,Mississippi,Republican,1020,1792
Texas,Lynn,Republican,260,1274
Arkansas,Crawford,Republican,5321,10409
South Dakota,Stanley,Republican,246,480
North Carolina,Cabarrus,Republican,12361,25914
Nebraska,Butler,Republican,795,1333
Illinois,McLean,Republican,10227,30625
Virginia,Highland,Republican,272,389
North Carolina,Union,Republican,12132,31203
Texas,Sabine,Republican,1488,2742
Michigan,Ogemaw,Republican,2343,3023
Tennessee,Coffee,Republican,4416,8110
Missouri,Greene,Republican,23944,50735
Nebraska,Dodge,Republican,2959,3792
Alabama,Choctaw,Republican,938,2073
Montana,Deer Lodge,Republican,1227,840
Tennessee,McMinn,Republican,4391,8287
New Jersey,Hudson,Republican,16139,8176
Washington,Jefferson,Republican,4447,3093
Oregon,Lake,Republican,951,1758
Texas,Hill,Republican,2994,8442
Indiana,Owen,Republican,2049,4061
California,Orange,Republican,131229,185017
Louisiana,Rapides,Republican,10775,8455
Oklahoma,Bryan,Republican,3269,2774
Kentucky,Crittenden,Republican,848,769
Texas,Stonewall,Republican,122,269
Louisiana,Jackson,Republican,1402,1327
Nebraska,Nemaha,Republican,674,726
Georgia,Webster,Republican,110,360
Texas,Comal,Republican,12595,27855
Texas,Johnson,Republican,10784,24435
California,Calaveras,Republican,5216,5712
Virginia,Mecklenburg,Republican,2884,2995
Texas,Brooks,Republican,415,58
Tennessee,Trousdale,Republican,572,911
New York,Montgomery,Republican,3739,3505
Virginia,Brunswick,Republican,887,1123
Arkansas,Independence,Republican,2826,5794
New Mexico,Chaves,Republican,4801,4367
Utah,Iron,Republican,2673,3492
Illinois,Monroe,Republican,2703,7417
Kentucky,Calloway,Republican,2710,1593
New Mexico,Socorro,Republican,1295,1024
Oregon,Lane,Republican,31009,31552
Kentucky,Casey,Republican,1211,1902
Wisconsin,Marathon,Republican,9868,29272
Georgia,Walton,Republican,5764,18818
New Jersey,Bergen,Republican,37238,41921
Nebraska,Gage,Republican,1926,2430
South Dakota,Marshall,Republican,380,265
Missouri,Worth,Republican,221,463
Oklahoma,Texas,Republican,835,2571
Iowa,Chickasaw,Republican,1116,600
Virginia,Buchanan,Republican,1175,2267
North Carolina,Alexander,Republican,2507,6054
Kentucky,Warren,Republican,7460,5400
Ohio,Guernsey,Republican,3357,6803
Maryland,Charles,Republican,15764,9993
Oklahoma,Cimarron,Republican,152,472
Ohio,Hancock,Republican,5445,17716
Oklahoma,Alfalfa,Republican,577,1117
North Carolina,Macon,Republican,4073,6183
Missouri,Wright,Republican,1597,3979
Missouri,Shelby,Republican,499,1322
Georgia,Effingham,Republican,4583,9144
Virginia,Prince Edward,Republican,1452,2038
Virginia,Petersburg,Republican,2692,687
Iowa,Wayne,Republican,569,419
North Carolina,Hertford,Republican,1718,703
South Dakota,Clark,Republican,279,282
Kentucky,Pike,Republican,3083,1556
Maryland,Montgomery,Republican,48402,43496
Florida,DeSoto,Republican,2802,2424
Arkansas,Conway,Republican,1534,2176
Missouri,Cooper,Republican,1392,3010
Missouri,Dade,Republican,831,1965
Nebraska,Custer,Republican,926,1848
Iowa,Clayton,Republican,1575,846
Alabama,Cherokee,Republican,2174,5193
Texas,Bowie,Republican,8160,15609
Arkansas,Carroll,Republican,2961,0
Georgia,McIntosh,Republican,1468,1950
Louisiana,Allen,Republican,1686,1029
Kentucky,Trimble,Republican,582,205
Utah,Grand,Republican,618,337
Pennsylvania,Franklin,Republican,13036,26228
Tennessee,White,Republican,2279,4032
New Jersey,Cape May,Republican,8802,10518
Iowa,Crawford,Republican,1161,699
New Mexico,Union,Republican,345,386
South Carolina,Union,Republican,2062,3611
Texas,Terrell,Republican,62,112
North Carolina,Bertie,Republican,1199,888
California,Merced,Republican,11102,8132
Wisconsin,Portage,Republican,4757,12339
Wisconsin,Burnett,Republican,1948,3139
Georgia,Harris,Republican,3578,6809
Pennsylvania,Schuylkill,Republican,13883,22225
Missouri,Nodaway,Republican,1277,3275
Iowa,Benton,Republican,2160,1634
Texas,Sterling,Republican,23,378
Nebraska,Clay,Republican,500,952
New York,Westchester,Republican,38943,40822
Oregon,Malheur,Republican,2347,3404
North Carolina,Camden,Republican,1087,1411
Virginia,Rockbridge,Republican,2579,3209
Georgia,Monroe,Republican,2069,5480
Illinois,Saline,Republican,2136,4119
North Carolina,Rowan,Republican,10374,19782
Nebraska,Frontier,Republican,259,411
Tennessee,Smith,Republican,1171,2897
Missouri,Benton,Republican,2393,4017
Tennessee,Bledsoe,Republican,1076,2003
Mississippi,Webster,Republican,531,2302
Iowa,Hamilton,Republican,1323,955
Indiana,Franklin,Republican,1464,5337
Montana,Dawson,Republican,825,1996
Wisconsin,Jackson,Republican,1924,3316
Wisconsin,Bayfield,Republican,1702,2973
Kentucky,McCreary,Republican,1076,1313
Florida,Leon,Republican,17802,29304
Nebraska,Gosper,Republican,161,342
Ohio,Franklin,Republican,68862,157594
Kentucky,Bourbon,Republican,1585,786
Texas,Wharton,Republican,2001,6375
Illinois,Warren,Republican,1299,2926
Georgia,Twiggs,Republican,559,1069
Montana,Stillwater,Republican,1144,1996
Michigan,Cheboygan,Republican,2719,4340
Virginia,Roanoke,Republican,8535,16177
North Carolina,Harnett,Republican,11155,10899
Idaho,Gem,Republican,1656,3133
Indiana,Steuben,Republican,2665,7087
California,El Dorado,Republican,16792,21329
Kentucky,Campbell,Republican,6145,3664
Oregon,Benton,Republican,5561,7293
Mississippi,Tate,Republican,1585,4191
Washington,Clark,Republican,36674,41638
Indiana,Miami,Republican,3454,6011
Wisconsin,Eau Claire,Republican,7501,16786
Wisconsin,Door,Republican,2421,7234
North Carolina,Caldwell,Republican,5602,11895
Florida,Pinellas,Republican,94997,124056
Missouri,Barry,Republican,3445,6874
Iowa,Scott,Republican,12299,9746
Missouri,Chariton,Republican,646,1372
Texas,Kerr,Republican,6283,11907
Alabama,Jefferson,Republican,46613,92419
Texas,Presidio,Republican,374,97
Alabama,Bullock,Republican,636,541
South Dakota,Todd,Republican,497,170
Iowa,Dallas,Republican,3902,7281
Georgia,Tattnall,Republican,1968,2521
Nebraska,Madison,Republican,2387,3387
Ohio,Williams,Republican,3130,8299
Missouri,Macon,Republican,1395,3132
Illinois,Greene,Republican,1086,2098
Kentucky,Caldwell,Republican,1002,541
Illinois,Brown,Republican,454,959
South Dakota,Brown,Republican,2556,2175
Ohio,Morrow,Republican,2884,8626
Georgia,Long,Republican,1658,1123
Texas,Guadalupe,Republican,15646,20190
Texas,Titus,Republican,1752,4143
Missouri,Buchanan,Republican,7082,10894
Texas,Shackelford,Republican,200,1098
Tennessee,Pickett,Republican,528,1151
Indiana,Putnam,Republican,2769,7133
Missouri,Pettis,Republican,3559,7128
Arkansas,Lonoke,Republican,7426,11449
Louisiana,East Baton Rouge,Republican,25555,29031
Nevada,White Pine,Republican,1168,430
North Carolina,Mitchell,Republican,995,3628
Michigan,Kalkaska,Republican,1610,3302
Missouri,Oregon,Republican,1120,1771
Arkansas,Lafayette,Republican,534,777
Montana,Fallon,Republican,220,862
Missouri,Carroll,Republican,869,1900
Nevada,Humboldt,Republican,1334,859
Mississippi,Grenada,Republican,1095,3030
Illinois,Jackson,Republican,4349,5643
Kentucky,Bracken,Republican,571,262
Pennsylvania,Adams,Republican,8901,16499
Tennessee,Polk,Republican,1165,2212
Kentucky,Franklin,Republican,4043,2034
California,Trinity,Republican,1648,1242
North Carolina,Hoke,Republican,4632,2587
New York,Brooklyn,Republican,50234,23328
Virginia,Williamsburg,Republican,957,1524
West Virginia,Greenbrier,Republican,3878,3599
Oklahoma,Garvin,Republican,2123,2572
Oklahoma,Beckham,Republican,1350,2159
Louisiana,Plaquemines,Republican,1749,1288
Kentucky,Powell,Republican,656,488
Nebraska,McPherson,Republican,32,164
Indiana,LaGrange,Republican,1778,5312
Montana,Missoula,Republican,8903,9364
Montana,Garfield,Republican,97,410
New Mexico,Guadalupe,Republican,403,97
Louisiana,Webster,Republican,3407,2767
New York,Rensselaer,Republican,11424,8565
Louisiana,Lafourche,Republican,4555,5648
Tennessee,Hardin,Republican,2196,3764
Illinois,DuPage,Republican,42246,139619
Georgia,Cook,Republican,1147,2212
Virginia,Charlotte,Republican,1008,1471
Virginia,Poquoson,Republican,1363,3000
Texas,Leon,Republican,1862,3667
Idaho,Elmore,Republican,4308,2731
Kentucky,Butler,Republican,802,1263
Illinois,Jasper,Republican,733,2110
Kentucky,Letcher,Republican,1277,701
Utah,Emery,Republican,546,704
Arizona,Yavapai,Republican,27950,30811
Utah,Wasatch,Republican,853,2376
North Carolina,Alamance,Republican,10719,16554
Nebraska,Perkins,Republican,154,515
Kentucky,Madison,Republican,5769,4726
New Mexico,San Miguel,Republican,2443,503
Georgia,Butts,Republican,1534,3826
California,Solano,Republican,34948,21763
Wisconsin,Dunn,Republican,2907,7301
South Dakota,Jerauld,Republican,178,151
Oklahoma,Osage,Republican,4085,5312
Tennessee,Lincoln,Republican,2382,5417
Louisiana,St. Charles,Republican,3015,3869
North Carolina,Carteret,Republican,9062,13330
Oregon,Baker,Republican,2096,3481
Pennsylvania,Cambria,Republican,13695,16208
Georgia,Pickens,Republican,2768,6909
Texas,Polk,Republican,4558,7422
North Carolina,Catawba,Republican,11011,24420
Pennsylvania,Warren,Republican,4187,6414
Montana,Sweet Grass,Republican,304,868
Tennessee,Overton,Republican,1360,3277
Missouri,Harrison,Republican,820,1572
Wisconsin,Rusk,Republican,1324,3176
Kentucky,Scott,Republican,3115,2947
Virginia,Clarke,Republican,1639,2495
South Carolina,Clarendon,Republican,2909,4294
New York,Chemung,Republican,7742,7933
Nebraska,Adams,Republican,2511,4009
Michigan,Allegan,Republican,7700,19474
Florida,Pasco,Republican,50239,63611
Texas,Tom Green,Republican,8975,16090
New Mexico,Mora,Republican,398,179
Montana,Carbon,Republican,1179,1779
New Mexico,Rio Arriba,Republican,2661,645
Illinois,Hardin,Republican,381,913
Texas,Sutton,Republican,188,874
Texas,Randall,Republican,9293,24060
Texas,Shelby,Republican,1826,4600
Utah,Weber,Republican,16813,10518
Texas,Deaf Smith,Republican,690,1891
Louisiana,Natchitoches,Republican,2511,2587
Iowa,Van Buren,Republican,668,531
Wisconsin,Lincoln,Republican,2671,6101
California,San Mateo,Republican,32332,18350
Illinois,Bureau,Republican,2803,5306
Wisconsin,Winnebago,Republican,12863,33294
Tennessee,Monroe,Republican,3738,8143
Texas,Childress,Republican,509,927
Kentucky,Bullitt,Republican,5928,4352
Missouri,Christian,Republican,6611,19507
Missouri,Saline,Republican,1839,3061
Illinois,JoDaviess,Republican,2271,4056
Michigan,Clare,Republican,3196,4026
Missouri,Lewis,Republican,815,1566
Michigan,Berrien,Republican,11674,20998
Florida,Seminole,Republican,30528,59891
Missouri,Gentry,Republican,604,1025
Kentucky,Livingston,Republican,563,310
Georgia,Dawson,Republican,1913,5785
Oklahoma,LeFlore,Republican,3805,3002
Wisconsin,Ozaukee,Republican,6097,27512
West Virginia,Wood,Republican,8194,12237
Missouri,Bollinger,Republican,1111,2622
Georgia,Crisp,Republican,1664,2366
Michigan,Marquette,Republican,6516,7293
Georgia,Wilcox,Republican,609,1075
Michigan,Mackinac,Republican,1265,1883
Idaho,Butte,Republican,266,560
Louisiana,Livingston,Republican,8788,10804
Virginia,Lancaster,Republican,1460,2069
West Virginia,Jefferson,Republican,4753,4891
North Carolina,Perquimans,Republican,1595,1594
Texas,Calhoun,Republican,1706,3378
Montana,Valley,Republican,718,1507
Kentucky,Fleming,Republican,951,758
Kentucky,Shelby,Republican,3476,3248
California,Nevada,Republican,10085,9065
Louisiana,Pointe Coupee,Republican,1355,1031
Missouri,Marion,Republican,2196,4939
Florida,Wakulla,Republican,3447,3759
Nebraska,Sarpy,Republican,18098,13978
Missouri,Ray,Republican,1853,3440
Texas,Franklin,Republican,995,2413
Wisconsin,Lafayette,Republican,1082,2824
California,Mariposa,Republican,2153,2394
Florida,Gadsden,Republican,3285,2309
Washington,Lewis,Republican,7912,9997
Georgia,Gordon,Republican,3094,8455
Texas,Kleberg,Republican,2247,2169
Michigan,Benzie,Republican,1955,2998
Tennessee,Bradley,Republican,7200,16303
Ohio,Clark,Republican,13743,23928
Wisconsin,Marinette,Republican,4448,8989
Iowa,Floyd,Republican,1523,760
Iowa,Davis,Republican,717,531
Oklahoma,Marshall,Republican,1475,1176
Wisconsin,Sheboygan,Republican,8535,25332
Pennsylvania,Sullivan,Republican,774,1266
Mississippi,Scott,Republican,1264,3397
Tennessee,Lewis,Republican,1255,1566
Nevada,Douglas,Republican,5677,4609
North Carolina,Davie,Republican,3419,9064
Indiana,St. Joseph,Republican,18001,36866
Mississippi,Chickasaw,Republican,657,1968
Oregon,Multnomah,Republican,44741,28654
Tennessee,Warren,Republican,2709,4745
Oregon,Morrow,Republican,1062,1281
Oklahoma,Latimer,Republican,934,479
Mississippi,Humphreys,Republican,499,669
Texas,Swisher,Republican,616,875
Indiana,Clay,Republican,1990,5615
Ohio,Shelby,Republican,3468,11395
Pennsylvania,Lackawanna,Republican,18091,20360
Georgia,Wayne,Republican,2611,4357
Kentucky,Woodford,Republican,2093,1839
Michigan,Isabella,Republican,3584,5899
Louisiana,Madison,Republican,738,462
Florida,Lafayette,Republican,765,1045
Alabama,Perry,Republican,670,365
Virginia,Norfolk,Republican,28126,12196
Mississippi,Leake,Republican,1334,2672
Michigan,Eaton,Republican,8128,14933
Mississippi,Smith,Republican,948,3203
Texas,Hansford,Republican,268,1248
Michigan,Hillsdale,Republican,3707,7023
Mississippi,Lawrence,Republican,1067,2107
Michigan,Delta,Republican,4361,4664
Nebraska,Burt,Republican,659,803
Michigan,Manistee,Republican,2825,3567
Mississippi,Calhoun,Republican,805,2337
Arkansas,Prairie,Republican,824,1077
Missouri,Knox,Republican,364,699
Georgia,Floyd,Republican,7358,13905
Tennessee,Henry,Republican,3572,5273
Virginia,Southampton,Republican,2173,2160
Nevada,Eureka,Republican,193,194
Pennsylvania,Beaver,Republican,15600,19081
Indiana,Sullivan,Republican,1449,3438
Texas,Hudspeth,Republican,184,184
Oregon,Tillamook,Republican,2778,3024
Missouri,Wayne,Republican,1314,2467
Michigan,Grand Traverse,Republican,7144,16263
Oklahoma,Ellis,Republican,322,863
Texas,Jackson,Republican,941,2663
Texas,Crockett,Republican,209,183
Texas,Goliad,Republican,704,1505
Missouri,Cass,Republican,8688,17269
Nebraska,Kearney,Republican,590,838
Utah,Garfield,Republican,449,376
Texas,Kent,Republican,60,226
Indiana,Bartholomew,Republican,5460,15651
West Virginia,Pendleton,Republican,743,660
Georgia,Emanuel,Republican,1357,2928
Kentucky,Meade,Republican,3568,1346
Georgia,Barrow,Republican,4968,11259
Arkansas,Izard,Republican,1605,2044
Iowa,Clinton,Republican,4259,2306
Arkansas,Cross,Republican,1189,2359
Texas,Crane,Republican,228,948
Virginia,Fairfax,Republican,83545,128853
Arizona,Greenlee,Republican,820,543
Tennessee,Tipton,Republican,5189,8307
Indiana,Scott,Republican,1620,2896
Hawaii,Honolulu,Republican,82157,8943
Illinois,Scott,Republican,427,1087
Texas,Rains,Republican,1375,2182
South Dakota,Lincoln,Republican,2947,2870
Pennsylvania,York,Republican,34528,69444
Maryland,Dorchester,Republican,3298,3738
Georgia,Habersham,Republican,3319,7767
Indiana,Washington,Republican,2041,4904
Nebraska,Phelps,Republican,722,1436
South Carolina,Spartanburg,Republican,20802,46655
South Dakota,Charles Mix,Republican,686,575
Alabama,Baldwin,Republican,19346,49100
Tennessee,Hawkins,Republican,5150,8875
New York,Madison,Republican,5824,6315
South Dakota,Edmunds,Republican,308,559
Tennessee,Marion,Republican,2042,3487
Iowa,Taylor,Republican,511,378
New Mexico,Curry,Republican,5584,3063
Indiana,Jefferson,Republican,2668,5028
Ohio,Preble,Republican,3780,10195
West Virginia,Taylor,Republican,1656,1921
Iowa,Sioux,Republican,1830,4594
Georgia,Coffee,Republican,2488,4455
Kentucky,Nicholas,Republican,438,143
Ohio,Lucas,Republican,29051,51073
Oklahoma,McIntosh,Republican,2165,1461
Kentucky,Ohio,Republican,1717,1620
Georgia,Muscogee,Republican,20679,15212
South Dakota,Mellette,Republican,156,107
Texas,Hardin,Republican,4159,12042
Utah,Millard,Republican,755,1083
Virginia,York,Republican,9868,11841
Maryland,Frederick,Republican,17508,28301
South Dakota,Sully,Republican,102,199
Ohio,Mahoning,Republican,19811,33327
Oklahoma,Stephens,Republican,4352,5362
Mississippi,Marshall,Republican,2207,3683
South Carolina,Marion,Republican,2124,2837
California,Los Angeles,Republican,331642,243464
Nebraska,Dakota,Republican,1167,1097
Iowa,Osceola,Republican,493,327
Montana,Musselshell,Republican,661,1199
Tennessee,Hamblen,Republican,5244,10194
Georgia,Worth,Republican,1811,3359
Indiana,Gibson,Republican,2474,6869
Virginia,Frederick,Republican,7459,12744
Indiana,Huntington,Republican,2703,8305
West Virginia,Pocahontas,Republican,920,956
Missouri,Cape Girardeau,Republican,5919,15408
South Carolina,Anderson,Republican,14754,34286
Nevada,Lyon,Republican,6101,2891
Louisiana,St. Bernard,Republican,1564,1369
Missouri,Polk,Republican,2450,6354
Nebraska,Cedar,Republican,732,1292
Mississippi,Harrison,Republican,22647,24248
New Mexico,DeBaca,Republican,153,185
New York,Saratoga,Republican,16746,23367
Oregon,Jackson,Republican,22618,24811
Virginia,Westmoreland,Republican,1756,2034
Georgia,Clay,Republican,234,338
North Carolina,Rutherford,Republican,5593,8228
Virginia,Alleghany,Republican,1435,1564
Iowa,Wright,Republican,938,562
Kentucky,Garrard,Republican,1238,1344
Kentucky,Rockcastle,Republican,1170,1623
Tennessee,Hardeman,Republican,1791,2330
California,Tehama,Republican,5608,4506
Delaware,New Castle,Republican,36340,31069
Tennessee,Montgomery,Republican,24920,16653
Iowa,Carroll,Republican,1447,1025
Virginia,Smyth,Republican,2387,3312
Oklahoma,Major,Republican,617,1853
Illinois,Henry,Republican,4338,8298
Georgia,Calhoun,Republican,420,444
Illinois,Richland,Republican,1469,2911
Texas,McMullen,Republican,47,390
Virginia,Madison,Republican,1356,2157
New York,Schoharie,Republican,2798,2601
Illinois,Clark,Republican,1459,3399
Texas,San Jacinto,Republican,2308,4545
Oklahoma,Pontotoc,Republican,2954,3224
Alabama,Pike,Republican,2516,5253
Tennessee,Blount,Republican,11723,20696
Texas,Comanche,Republican,1176,2795
Illinois,St. Clair,Republican,29633,27861
Mississippi,Holmes,Republican,574,707
Alabama,Marion,Republican,2287,6448
Texas,Burleson,Republican,1310,3165
Ohio,Van Wert,Republican,2146,6826
Texas,Lubbock,Republican,15832,40476
Nebraska,Antelope,Republican,587,1075
Kentucky,Bell,Republican,1668,1255
Arkansas,Sebastian,Republican,10175,18181
Idaho,Clearwater,Republican,1041,1344
Michigan,Muskegon,Republican,13255,17816
Indiana,Hancock,Republican,5381,17324
Missouri,Newton,Republican,4532,12044
West Virginia,Wayne,Republican,3522,3193
South Dakota,Miner,Republican,185,153
Oregon,Wallowa,Republican,850,1669
Texas,Caldwell,Republican,2646,4409
Alabama,Russell,Republican,5977,3667
New Jersey,Middlesex,Republican,33164,24909
Nebraska,Box Butte,Republican,998,1619
Illinois,Moultrie,Republican,1037,2626
Arkansas,Phillips,Republican,1271,625
Tennessee,Sequatchie,Republican,864,2109
Montana,Meagher,Republican,220,468
Pennsylvania,Mifflin,Republican,4045,7139
Alabama,Wilcox,Republican,462,521
Kentucky,Robertson,Republican,160,54
North Carolina,Graham,Republican,639,1583
Iowa,Bremer,Republican,1914,1490
Iowa,Butler,Republican,1007,910
Florida,Santa Rosa,Republican,20921,33396
South Dakota,Moody,Republican,548,320
Missouri,Boone,Republican,9703,24951
North Carolina,Alleghany,Republican,781,1549
Wisconsin,Kewaunee,Republican,1684,4936
Georgia,Crawford,Republican,887,1773
New York,Oneida,Republican,19680,19049
West Virginia,Raleigh,Republican,7849,8423
Texas,Mitchell,Republican,625,1179
Iowa,Lee,Republican,3552,1315
West Virginia,Lincoln,Republican,1771,1369
Nebraska,Valley,Republican,383,696
California,Stanislaus,Republican,25311,19148
Oklahoma,Haskell,Republican,1087,672
Florida,Collier,Republican,30603,63281
Tennessee,Roane,Republican,6179,8380
Wisconsin,Outagamie,Republican,12168,36724
New Jersey,Passaic,Republican,16098,19777
Texas,Atascosa,Republican,3302,4409
Alabama,Colbert,Republican,4376,8036
Arkansas,Benton,Republican,16452,41397
Idaho,Bannock,Republican,5638,8626
Washington,Skagit,Republican,11557,9065
Wisconsin,Waupaca,Republican,4961,10748
Texas,Grimes,Republican,2462,4283
Tennessee,Carter,Republican,5144,9388
Tennessee,Grundy,Republican,1001,1598
Iowa,Woodbury,Republican,7107,5055
Tennessee,Stewart,Republican,1650,1890
Virginia,Craig,Republican,636,846
Indiana,Boone,Republican,3333,14974
Texas,Blanco,Republican,1271,2886
Indiana,Marshall,Republican,3264,8962
Virginia,Scott,Republican,1501,2918
Texas,Harrison,Republican,4799,10029
Indiana,Daviess,Republican,1942,6207
Georgia,Treutlen,Republican,342,794
Montana,Silver Bow,Republican,3172,3157
Pennsylvania,Lancaster,Republican,34195,84270
Florida,Broward,Republican,92575,104576
Michigan,Oakland,Republican,67718,182622
Florida,Sumter,Republican,18121,32277
Pennsylvania,Cameron,Republican,612,794
Washington,Pierce,Republican,87547,60812
Georgia,Talbot,Republican,541,681
Nebraska,York,Republican,1185,1596
New Mexico,McKinley,Republican,3162,1137
Montana,Carter,Republican,75,440
Texas,Cooke,Republican,2935,8469
Missouri,Taney,Republican,5347,10456
Wisconsin,Marquette,Republican,1696,3481
Alabama,Greene,Republican,502,268
Arkansas,Crittenden,Republican,3541,2950
Kentucky,LaRue,Republican,1170,725
Indiana,Delaware,Republican,8635,16201
Georgia,Towns,Republican,1303,2916
Alabama,Coosa,Republican,934,2176
Michigan,Ionia,Republican,4782,7774
Wisconsin,Calumet,Republican,3156,11392
Idaho,Blaine,Republican,1347,1509
Illinois,Rock Island,Republican,12099,13956
Montana,Lincoln,Republican,2506,3446
Nebraska,Merrick,Republican,822,1218
North Carolina,Jones,Republican,1067,1078
Oklahoma,Roger Mills,Republican,258,470
Missouri,Caldwell,Republican,950,1726
Hawaii,Kauai,Republican,4680,879
Idaho,Fremont,Republican,953,2682
Texas,Ellis,Republican,9986,25096
South Dakota,Davison,Republican,1541,1185
Oklahoma,Seminole,Republican,1931,1752
Wisconsin,Walworth,Republican,7046,21581
