"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Indiana,Starke,Democrat,23363,75.6,2332
South Dakota,Clark,Democrat,3691,3.9,198
Pennsylvania,Forest,Democrat,7716,18.1,472
New York,Franklin,Democrat,51599,31.7,3299
Iowa,Keokuk,Democrat,10511,18.1,400
Arkansas,Sebastian,Democrat,125744,236.4,5920
Idaho,Payette,Democrat,22623,55.6,137
Ohio,Putnam,Democrat,34499,71.5,1747
South Dakota,Harding,Democrat,1255,0.5,54
Iowa,Winneshiek,Democrat,21056,30.5,1100
Montana,Garfield,Democrat,1206,0.3,26
Oklahoma,Kay,Democrat,46562,50.6,3079
California,Imperial,Democrat,174528,41.8,8474
New Mexico,Otero,Democrat,63797,9.6,2514
Georgia,Irwin,Democrat,9538,26.9,400
North Carolina,Hoke,Democrat,46952,120.2,5365
Missouri,Clark,Democrat,7139,14.1,380
Arkansas,Scott,Democrat,11233,12.6,457
Oklahoma,Grant,Democrat,4527,4.5,349
New York,Brooklyn,Democrat,2504700,35369.1,290563
Washington,Columbia,Democrat,4078,4.7,13
Mississippi,Winston,Democrat,19198,31.6,1644
Michigan,Saginaw,Democrat,200169,250.2,21967
Georgia,Whitfield,Democrat,102599,353.2,2843
Iowa,Louisa,Democrat,11387,28.3,400
Michigan,Wexford,Democrat,32735,57.9,2702
Oklahoma,Okmulgee,Democrat,40069,57.5,3749
Kentucky,McCreary,Democrat,18306,42.9,372
Texas,Willacy,Democrat,22134,37.5,2729
Virginia,Manassas,Democrat,37821,3827.6,3092
Georgia,Wheeler,Democrat,7421,25.1,203
Virginia,Dinwiddie,Democrat,28001,55.6,2310
Colorado,Pueblo,Democrat,159063,66.7,2400
Colorado,Crowley,Democrat,5823,7.4,31
Wyoming,Campbell,Democrat,46133,9.6,18
Utah,Box Elder,Democrat,49975,8.7,371
Missouri,Butler,Democrat,42794,61.6,1655
Florida,Columbia,Democrat,67531,84.7,3975
Ohio,Geauga,Democrat,93389,233.4,7687
