"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
North Carolina,Craven,Republican,103505,146.0,12212
South Carolina,Charleston,Republican,350209,382.3,54625
Nebraska,Cuming,Republican,9139,16.0,1112
North Carolina,Wilkes,Republican,69340,91.9,12301
Texas,McMullen,Republican,707,0.6,390
Indiana,Jennings,Republican,28525,75.7,5052
New Jersey,Cumberland,Republican,156898,324.4,5980
Idaho,Bear Lake,Republican,5986,6.1,1428
Iowa,Mills,Republican,15059,34.4,1121
New York,Fulton,Republican,55531,112.1,5616
West Virginia,Roane,Republican,14926,30.9,1780
Louisiana,Jackson,Republican,16274,28.6,1327
Texas,Coleman,Republican,8895,7.0,2189
Hawaii,Hawaii,Republican,185079,45.9,1978
Pennsylvania,Delaware,Republican,558979,3040.5,78459
Georgia,Stewart,Republican,6058,13.2,371
Utah,Grand,Republican,9225,2.5,337
Nevada,Humboldt,Republican,16528,1.7,859
Tennessee,Warren,Republican,39839,92.1,4745
California,Sonoma,Republican,483878,307.1,23061
Oklahoma,Osage,Republican,47472,21.1,5312
West Virginia,Mercer,Republican,62264,148.6,6332
Nebraska,Scotts Bluff,Republican,36970,50.0,3578
Oklahoma,Pottawatomie,Republican,69442,88.2,7783
Nebraska,Frontier,Republican,2756,2.8,411
Montana,Cascade,Republican,81327,30.1,9748
Texas,Panola,Republican,23796,29.7,5180
Michigan,Houghton,Republican,36628,36.3,4237
New Mexico,Sierra,Republican,11988,2.9,1164
Kentucky,Hopkins,Republican,46920,86.6,1615
Virginia,Galax,Republican,7042,854.6,599
Nebraska,Saunders,Republican,20780,27.7,2591
Texas,Sabine,Republican,10834,22.0,2742
Ohio,Stark,Republican,375586,652.9,68099
Iowa,Emmet,Republican,10302,26.0,403
Virginia,Rockbridge,Republican,22307,37.3,3209
Florida,Manatee,Republican,322833,434.5,53773
Kentucky,Pendleton,Republican,14877,53.7,711
Tennessee,Lawrence,Republican,41869,67.8,5680
Delaware,New Castle,Republican,538479,1263.2,31069
Oregon,Grant,Republican,7445,1.6,1859
Idaho,Kootenai,Republican,138494,111.3,21848
Wisconsin,Iowa,Republican,23687,31.1,3935
New York,Allegany,Republican,48946,47.6,4919
Florida,Walton,Republican,55043,53.0,12478
Indiana,Kosciusko,Republican,77358,145.6,17573
Georgia,Washington,Republican,21187,31.2,2256
Ohio,Crawford,Republican,43784,109.0,8247
Texas,Brazos,Republican,194851,332.8,24634
Mississippi,Jasper,Republican,17062,25.2,2240
Washington,Yakima,Republican,243231,56.6,17301
Louisiana,Terrebonne,Republican,111860,90.8,6701
Arkansas,Pike,Republican,11291,18.8,1477
Mississippi,Quitman,Republican,8223,20.3,390
Virginia,Staunton,Republican,23746,1188.8,3148
New York,Queens,Republican,2230722,20553.6,28227
Iowa,Jackson,Republican,19848,31.2,928
Texas,Robertson,Republican,16622,19.4,2569
Virginia,Bedford,Republican,68676,91.2,15128
Georgia,DeKalb,Republican,691893,2585.7,43512
Louisiana,St. John the Baptist,Republican,45924,215.5,1362
Maryland,Howard,Republican,287085,1144.9,26185
North Carolina,Hertford,Republican,24669,69.9,703
Ohio,Harrison,Republican,15864,39.4,2697
Missouri,Crawford,Republican,24696,33.3,4018
Kentucky,Muhlenberg,Republican,31499,67.4,891
Nebraska,Johnson,Republican,5217,13.9,465
Mississippi,Stone,Republican,17786,39.9,3109
Missouri,Sullivan,Republican,6714,10.4,967
Virginia,Prince Edward,Republican,23368,66.8,2038
Indiana,Dearborn,Republican,50047,164.1,10078
Illinois,Macoupin,Republican,47765,55.4,7168
Texas,Hidalgo,Republican,774769,493.2,17949
Illinois,Macon,Republican,110768,190.8,16167
Mississippi,Webster,Republican,10253,24.4,2302
Pennsylvania,Sullivan,Republican,6428,14.3,1266
Missouri,Livingston,Republican,15195,28.5,2487
Michigan,Mecosta,Republican,42798,77.1,5357
Mississippi,Calhoun,Republican,14962,25.5,2337
Arkansas,Carroll,Republican,27446,43.6,0
Michigan,Chippewa,Republican,38520,24.7,4610
Georgia,Echols,Republican,4034,9.7,451
Nebraska,Nemaha,Republican,7248,17.8,726
Iowa,Warren,Republican,46225,81.1,3807
North Carolina,Buncombe,Republican,238318,362.9,26577
Virginia,Martinsville,Republican,13821,1261.5,997
